case,date,season,age,overall,hasTourCard,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age12-104729,2026-05-11,2026/27,12,47,False,41,52,51,34,40,44,48,41,40,25,41,52,60,55,49
age12-104729,2027-06-30,2027/28,13,50,False,44.62,56.01,55.71,39.44,42.95,48.61,52.71,45.06,43.29,27.4,43.04,53.02,60.77,56.21,50.28
age12-104729,2028-06-30,2028/29,14,53,False,47.83,59.22,59.78,43.76,45.67,52.42,56.83,48.43,45.92,29.42,45.28,54.14,61.61,57.3,51.68
age12-104729,2029-06-30,2029/30,15,56,False,51.53,62.87,64.05,48.01,48.58,56.07,60.8,51.63,48.41,31.4,47.43,55.21,62.41,58.54,53.02
age12-104729,2030-06-30,2030/31,16,59,False,54.61,66.2,68.46,53.33,51.24,60.06,64.83,55.04,51.05,33.53,49.51,56.26,63.19,59.61,54.32
age12-104729,2031-06-30,2031/32,17,62,False,57.79,69.5,72.47,57.85,53.82,63.89,68.8,58.4,53.64,35.58,51.49,57.24,63.93,60.68,55.56
age12-104729,2032-06-30,2032/33,18,66,False,62.13,73.93,77.83,63.54,57.33,68.57,73.76,62.5,56.97,38.06,54.45,58.72,65.04,62.14,57.4
age12-104729,2033-06-30,2033/34,19,70,False,66.04,78.4,82.99,69.4,60.73,73.71,79.25,67.03,60.67,40.73,56.84,59.92,65.94,63.46,58.9
age12-104729,2034-06-30,2034/35,20,73,False,69.87,82.33,86.85,75.23,63.98,78.52,83.77,71.24,64.08,43.28,59.17,61.09,66.81,64.77,60.36
age12-104729,2035-06-30,2035/36,21,76,False,73.76,85.44,89.79,80.84,67.31,83.16,87.47,75.56,67.33,45.91,61.67,62.33,67.75,66.13,61.92
age12-104729,2036-06-30,2036/37,22,80,False,78.14,88.26,92.15,85.38,70.83,86.62,90.23,79.59,70.53,48.33,64.7,63.85,68.89,67.61,63.82
age12-104729,2037-06-30,2037/38,23,81,False,80.24,89.59,93.21,87.6,72.62,88.3,91.49,81.84,72.41,49.74,66.03,64.51,69.39,68.33,64.64
age12-104729,2038-06-30,2038/39,24,82,False,82.06,90.65,94.08,89.51,74.31,89.77,92.57,83.84,74.31,51.12,67.38,65.19,69.89,68.99,65.48
age12-104729,2039-06-30,2039/40,25,83,False,83.93,91.61,94.81,90.77,76.12,90.92,93.49,85.48,76.06,52.37,68.74,65.87,70.4,69.73,66.34
age12-104729,2040-06-30,2040/41,26,85,False,85.6,92.5,95.48,92.03,77.95,91.92,94.25,86.87,77.71,53.59,70.21,66.6,70.95,70.48,67.25
age12-104729,2041-06-30,2041/42,27,86,False,86.76,93.11,95.92,92.86,79.31,92.67,94.82,87.95,79.07,54.63,71.17,67.08,71.31,71.04,67.86
age12-104729,2042-06-30,2042/43,28,86,False,87.73,93.63,96.31,93.61,80.59,93.32,95.3,88.89,80.38,55.6,72.22,67.61,71.71,71.56,68.51
age12-104729,2043-06-30,2043/44,29,87,True,88.78,94.17,96.69,94.31,81.97,93.96,95.78,89.84,81.71,56.66,73.47,68.23,72.17,72.16,69.29
age12-104729,2044-06-30,2044/45,30,88,True,89.74,94.7,97.03,94.9,83.2,94.54,96.21,90.72,82.94,57.75,74.56,68.78,72.58,72.76,69.97
age12-104729,2045-06-30,2045/46,31,88,True,90.43,95.08,97.31,95.43,84.17,95.0,96.54,91.4,83.98,58.66,75.47,69.23,72.93,73.23,70.54
age12-104729,2046-06-30,2046/47,32,89,False,91.18,95.47,97.62,95.92,85.23,95.51,96.91,92.19,85.13,59.79,76.44,69.72,73.29,73.79,71.15
age12-104729,2047-06-30,2047/48,33,90,False,91.85,95.83,97.93,96.36,86.17,95.9,97.2,92.78,86.0,60.76,77.54,70.27,73.7,74.33,71.84
age12-104729,2048-06-30,2048/49,34,90,False,92.46,96.16,98.21,96.71,86.98,96.22,97.46,93.28,86.77,61.66,78.41,70.71,74.03,74.84,72.38
