case,category,detail
age12-130363,balance-warning,Rank 65-128 player skipped all qualifiers in 2041/42.
age15-104729,balance-warning,Rank 65-128 player skipped all qualifiers in 2061/62.
age15-130363,balance-warning,"Rank 65-128 player skipped all qualifiers in 2032/33, 2042/43."
age18-104729,balance-warning,Major-event win rate 60.3% produced no major titles.
age21-130363,balance-warning,Final rank stayed at 65 while the strong overall win rate (55.8%) was driven more by pathway wins than professional wins.
age30-104729,balance-warning,Rank 65-128 player skipped all qualifiers in 2041/42.
age13-130363,balance-warning,Rank 65-128 player skipped all qualifiers in 2048/49.
age14-130363,balance-warning,Rank 65-128 player skipped all qualifiers in 2037/38.
age16-130363,balance-warning,Major-event win rate 63.0% produced no major titles.
age17-104729,balance-warning,World Championship main-draw win rate 61.9% across 42 matches produced no world title.
age17-104729,balance-warning,World main-draw win rate is 61.9% across 42 matches with zero world titles.
age19-104729,balance-warning,"Rank 65-128 player skipped all qualifiers in 2030/31, 2058/59."
age19-130363,balance-warning,Rank 65-128 player skipped all qualifiers in 2033/34.
age20-104729,balance-warning,"Top 16 season without World Championship main-draw entry: 2041/42 (open #11, close #37, open status Major Contender, close status Tour Survivor / Top 64, main draw no, qualifying yes, reason entered qualifying instead (Lost in Qualifying Round 3)) | 2046/47 (open #7, close #27, open status Major Contender, close status Top 32 Professional, main draw no, qualifying yes, reason entered qualifying instead (Lost in Qualifying Round 3))."
age22-130363,balance-warning,"Top 16 season without World Championship main-draw entry: 2046/47 (open #12, close #27, open status Major Contender, close status Top 32 Professional, main draw no, qualifying yes, reason entered qualifying instead (Lost in Judgement Day))."
age24-130363,balance-warning,"Top 16 season without World Championship main-draw entry: 2042/43 (open #13, close #18, open status Major Contender, close status Top 32 Professional, main draw no, qualifying yes, reason entered qualifying instead (Lost in Qualifying Round 3))."
age25-104729,balance-warning,Major-event win rate 62.8% produced no major titles.
age27-130363,balance-warning,Major-event win rate 61.4% produced no major titles.
age31-130363,balance-warning,"Top 16 season without World Championship main-draw entry: 2036/37 (open #4, close #39, open status Major Contender, close status Tour Survivor / Top 64, main draw no, qualifying yes, reason entered qualifying instead (Lost in Judgement Day))."
age31-130363,balance-warning,Major-event win rate 61.9% produced no major titles.
age34-104729,balance-warning,Rank 65-128 player skipped all qualifiers in 2037/38.
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-career-match-count,"Elliot Vance: 4 matches, 3 wins, 4 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2026-27.json,extended-season-match-count,"Elliot Vance: {""season"":""2026/27"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":347,""qTourRank"":437,""qSchoolRank"":null,""seniorRank"":5,""youthRank"":null,""matches"":4,""wins"":3,""losses"":4,""prizeMoney"":0,""rankingPoints"":2012,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-career-match-count,"Elliot Vance: 8 matches, 5 wins, 8 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2027-28.json,extended-season-match-count,"Elliot Vance: {""season"":""2027/28"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":324,""qTourRank"":null,""qSchoolRank"":null,""seniorRank"":48,""youthRank"":null,""matches"":4,""wins"":2,""losses"":4,""prizeMoney"":0,""rankingPoints"":37,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-career-match-count,"Elliot Vance: 14 matches, 6 wins, 16 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2028-29.json,extended-season-match-count,"Elliot Vance: {""season"":""2028/29"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":105,""qTourRank"":416,""qSchoolRank"":155,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":1,""losses"":8,""prizeMoney"":0,""rankingPoints"":21,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-career-match-count,"Elliot Vance: 20 matches, 7 wins, 23 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2029-30.json,extended-season-match-count,"Elliot Vance: {""season"":""2029/30"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":103,""qTourRank"":418,""qSchoolRank"":210,""seniorRank"":null,""youthRank"":null,""matches"":6,""wins"":1,""losses"":7,""prizeMoney"":0,""rankingPoints"":18,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Veteran Amateur / Pro-Am Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-career-match-count,"Elliot Vance: 24 matches, 8 wins, 29 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2030-31.json,extended-season-match-count,"Elliot Vance: {""season"":""2030/31"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":223,""qTourRank"":414,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":1,""losses"":6,""prizeMoney"":0,""rankingPoints"":12,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-career-match-count,"Elliot Vance: 28 matches, 11 wins, 35 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2031-32.json,extended-season-match-count,"Elliot Vance: {""season"":""2031/32"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":219,""qTourRank"":420,""qSchoolRank"":null,""seniorRank"":62,""youthRank"":null,""matches"":4,""wins"":3,""losses"":6,""prizeMoney"":0,""rankingPoints"":19,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-career-match-count,"Elliot Vance: 32 matches, 11 wins, 41 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2032-33.json,extended-season-match-count,"Elliot Vance: {""season"":""2032/33"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":214,""qTourRank"":419,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":9,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-career-match-count,"Elliot Vance: 36 matches, 11 wins, 47 losses"
artifacts\simulations\15-season-start-age-50-start-masters-middle-support-simulation-seed-104729-gameplay-rotating-entry-v2-all-ages-to-65-20260912-world\2033-34.json,extended-season-match-count,"Elliot Vance: {""season"":""2033/34"",""worldRank"":null,""oneYearRank"":null,""amateurRank"":215,""qTourRank"":425,""qSchoolRank"":null,""seniorRank"":65,""youthRank"":null,""matches"":4,""wins"":0,""losses"":6,""prizeMoney"":0,""rankingPoints"":7,""titles"":0,""proWins"":0,""proLosses"":0,""mainTourEvents"":0,""hasTourCard"":false,""yearsRemaining"":0,""retainedViaRanking"":false,""cardSource"":null,""tourSurvivalStatus"":""Amateur"",""status"":""Senior Tour / Legend Circuit""}"
