case,season,age,matches,wins,losses,titles,majorTitles,centuries,highestBreak,overall,cash,cashDelta,recordedCategoryTotal,unclassifiedCashChange,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,other
age12-104729,2026/27,13,26,4,22,0,0,0,35,50,1241.5,-6758.5,-7299.5,541.0,0,2900,-156,0,-11165,-520,-2530.8,0,4172.3
age12-104729,2027/28,14,22,1,21,0,0,0,41,53,1215.3,-26.2,-84.2,58.0,0,2550,-464,0,-3606,-305,-1900,0,3640.8
age12-104729,2028/29,15,24,3,21,0,0,0,54,56,1210.1,-5.2,-509.2,504.0,3,2550,-618,0,-3714,-245,-2280,0,3794.8
age12-104729,2029/30,16,23,0,23,0,0,0,38,59,2129.9,919.8,719.8,200.0,0,2550,-1500,0,-1170,-255,-2565,-230,3889.8
age12-104729,2030/31,17,23,2,21,0,0,0,39,62,4648.12,2518.22,2568.22,-50.0,0,2956,-1168,0,-84,-300,-2565,-180,3909.22
age12-104729,2031/32,18,24,4,20,0,0,0,51,66,6925.76,2277.64,2227.64,50.0,0,2912,-1564,0,-38,-330,-2530.8,0,3778.44
age12-104729,2032/33,19,32,16,16,0,0,0,97,70,9264.86,2339.1,2289.1,50.0,510,7987,-5962,0,0,-375,-2291.4,0,2420.5
age12-104729,2033/34,20,28,15,13,0,0,0,94,73,12410.24,3145.38,3195.38,-50.0,22,7644,-5050,0,-84,-375,-2257.2,0,3295.58
age12-104729,2034/35,21,26,12,14,0,0,1,101,76,19511.26,7101.02,6901.02,200.0,8,8469,-1872,0,0,-375,-2565,0,3236.02
age12-104729,2035/36,22,16,5,11,0,0,1,129,80,22568.91,3057.65,2757.65,300.0,0,8282,-1872,0,-84,-1685,-4009,0,2125.65
age12-104729,2036/37,23,28,16,12,0,0,7,122,81,33235.52,10666.61,10466.61,200.0,12750,7426,-1872,0,-518,-1785,-4326,0,-1208.39
age12-104729,2037/38,24,30,19,11,0,0,6,138,82,62480.82,29245.3,29045.3,200.0,17060,23088,-1872,0,-84,-1785,-3806.88,0,-3554.82
