case,startAge,actualPath,matchesBefore,matchesAfter,winsBefore,winsAfter,titlesBefore,titlesAfter,cashBefore,cashAfter
age12-104729,12,start-club-junior,918,1004,431,504,4,10,1285667.86,1771834.86
age12-130363,12,start-club-junior,970,1013,490,487,11,7,2206743.36,2271159.87
age15-104729,15,start-national-youth,1023,1084,602,633,19,18,4042738.7,4404978.57
age15-130363,15,start-national-youth,903,940,560,527,30,13,4717558.06,2393556.54
age18-104729,18,start-elite-amateur,840,988,486,547,19,16,3161052.29,5669778.05
age18-130363,18,start-elite-amateur,921,925,552,563,20,18,4743763.03,2071496.97
age21-104729,21,start-q-tour,767,739,434,412,11,10,2051071.64,1864433.76
age21-130363,21,start-q-tour,755,807,421,458,10,14,2742103.36,2361616.15
age30-104729,30,start-rookie-pro,457,525,223,226,5,1,962918.78,2272239.25
age30-130363,30,start-rookie-pro,505,479,234,227,1,6,1725273.53,1264923.14
age40-104729,40,start-top-64,207,214,49,49,0,1,386785.44,403048.5
age40-130363,40,start-top-64,226,213,47,34,0,0,486631.34,501869.84
age50-104729,50,start-masters,106,107,11,12,0,0,201624.93,202348.66
age50-130363,50,start-masters,103,104,7,10,0,0,184355.2,176165.86
age13-104729,13,start-club-junior,929,1004,458,474,15,11,5511135.99,2843222.94
age13-130363,13,start-club-junior,927,1008,426,478,6,7,2180777.89,4127512.79
age14-104729,14,start-club-junior,1086,975,545,476,9,8,3546654.61,2998985.8
age14-130363,14,start-club-junior,931,927,481,483,14,9,1719814.65,1442376.79
age16-104729,16,start-national-youth,947,945,567,567,14,20,1668329.06,1488497.55
age16-130363,16,start-national-youth,936,965,549,562,15,17,2043524.79,4322899.9
age17-104729,17,start-national-youth,1185,914,692,532,24,16,10042702.84,2035890.63
age17-130363,17,start-national-youth,887,921,494,522,14,13,2103391.38,2859759.37
age19-104729,19,start-elite-amateur,817,889,449,517,13,13,3048141.18,2142023.26
age19-130363,19,start-elite-amateur,835,1030,468,567,14,19,3548961.01,6276112.74
age20-104729,20,start-elite-amateur,932,774,512,417,15,4,6372446.32,2441331.55
age20-130363,20,start-elite-amateur,915,900,503,497,12,9,3974269.0,4654093.22
age22-104729,22,start-q-tour,710,696,392,386,7,11,2113567.82,1897330.16
age22-130363,22,start-q-tour,814,828,455,444,14,9,4252584.57,3768095.7
age23-104729,23,start-q-tour,695,888,376,484,4,12,2979797.41,5569151.91
age23-130363,23,start-q-tour,694,737,378,404,11,9,2051250.56,2063250.94
age24-104729,24,start-q-tour,596,736,326,401,6,8,1254066.74,3348333.16
age24-130363,24,start-q-tour,681,635,389,334,12,5,3359494.86,1668720.36
age25-104729,25,start-rookie-pro,605,649,309,354,7,10,1731495.67,1564903.08
age25-130363,25,start-rookie-pro,710,661,370,352,6,7,3324451.07,1924537.66
age26-104729,26,start-rookie-pro,614,587,299,300,7,5,1990192.34,1651927.96
age26-130363,26,start-rookie-pro,636,571,342,304,6,7,4095035.23,4045720.32
age27-104729,27,start-rookie-pro,578,566,288,297,9,8,1529958.6,1539810.36
age27-130363,27,start-rookie-pro,618,569,326,286,5,5,2726346.12,1657621.93
age28-104729,28,start-rookie-pro,565,547,291,281,9,6,1408558.32,1984913.88
age28-130363,28,start-rookie-pro,593,563,301,285,5,4,2926011.18,1505795.66
age29-104729,29,start-rookie-pro,551,519,270,245,6,3,2191377.43,1279375.42
age29-130363,29,start-rookie-pro,541,507,271,233,3,3,1556965.01,1394807.61
age31-104729,31,start-rookie-pro,467,596,233,280,3,4,1048819.1,4237574.3
age31-130363,31,start-rookie-pro,521,412,235,189,3,2,3487174.51,928585.5
age32-104729,32,start-rookie-pro,410,447,179,201,1,1,911139.02,1273402.42
age32-130363,32,start-rookie-pro,420,390,193,155,6,2,943487.78,1003324.48
age33-104729,33,start-rookie-pro,376,393,155,163,3,3,756114.62,1236855.26
age33-130363,33,start-rookie-pro,394,362,152,143,0,2,1119156.74,739642.34
age34-104729,34,start-rookie-pro,366,338,138,123,1,3,787614.37,822135.32
age34-130363,34,start-rookie-pro,343,304,129,100,3,1,769963.47,629164.26
age35-104729,35,start-top-64,304,297,115,107,2,2,591932.36,610429.68
age35-130363,35,start-top-64,306,299,114,108,2,1,661575.41,699008.1
age36-104729,36,start-top-64,276,277,107,84,4,1,450789.84,625193.34
age36-130363,36,start-top-64,284,285,99,90,2,0,625028.12,619843.78
