case,date,season,age,overall,hasTourCard,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age12-104729,2026-05-11,2026/27,12,47,False,41,52,51,34,40,44,48,41,40,25,41,52,60,55,49
age12-104729,2027-06-30,2027/28,13,50,False,44.62,56.01,55.71,39.44,42.95,48.61,52.71,45.06,43.29,27.4,43.04,53.02,60.77,56.21,50.28
age12-104729,2028-06-30,2028/29,14,53,False,47.9,59.36,60.01,44.15,45.74,52.49,56.84,48.44,45.94,29.46,45.35,54.17,61.63,57.33,51.72
age12-104729,2029-06-30,2029/30,15,56,False,51.62,63.08,64.38,48.64,48.68,56.33,60.97,51.81,48.54,31.55,47.5,55.25,62.44,58.58,53.06
age12-104729,2030-06-30,2030/31,16,59,False,54.6,66.34,68.76,54.01,51.29,60.34,64.99,55.23,51.18,33.69,49.56,56.28,63.21,59.62,54.35
age12-104729,2031-06-30,2031/32,17,62,False,57.77,69.61,72.72,58.43,53.87,64.22,69.05,58.67,53.81,35.77,51.52,57.26,63.94,60.69,55.57
age12-104729,2032-06-30,2032/33,18,66,False,62.06,73.92,77.92,63.93,57.31,68.85,73.95,62.72,57.11,38.21,54.44,58.72,65.04,62.12,57.4
age12-104729,2033-06-30,2033/34,19,70,False,65.97,78.36,83.05,69.81,60.73,73.97,79.43,67.24,60.8,40.86,56.84,59.92,65.94,63.45,58.9
age12-104729,2034-06-30,2034/35,20,73,False,69.79,82.3,86.88,75.65,63.96,78.79,83.9,71.43,64.2,43.41,59.17,61.09,66.81,64.75,60.36
age12-104729,2035-06-30,2035/36,21,77,False,73.71,85.51,89.96,81.63,67.35,83.55,87.66,75.91,67.58,46.15,61.71,62.36,67.77,66.12,61.94
age12-104729,2036-06-30,2036/37,22,80,False,77.96,88.27,92.24,85.79,70.79,86.72,90.24,79.64,70.51,48.42,64.71,63.85,68.89,67.57,63.82
age12-104729,2037-06-30,2037/38,23,81,True,80.09,89.59,93.26,87.8,72.58,88.37,91.5,81.87,72.35,49.81,66.0,64.5,69.38,68.3,64.63
age12-104729,2038-06-30,2038/39,24,82,True,82.02,90.66,94.1,89.46,74.28,89.69,92.5,83.69,74.06,51.11,67.24,65.12,69.84,68.99,65.4
age12-104729,2039-06-30,2039/40,25,83,False,83.76,91.59,94.86,90.99,76.07,91.01,93.51,85.54,76.02,52.49,68.7,65.85,70.39,69.69,66.31
age12-104729,2040-06-30,2040/41,26,85,False,85.38,92.43,95.51,92.22,77.84,92.01,94.28,86.95,77.69,53.73,70.15,66.57,70.93,70.41,67.22
age12-104729,2041-06-30,2041/42,27,86,True,86.61,93.08,95.98,93.1,79.29,92.8,94.87,88.09,79.15,54.82,71.17,67.09,71.32,70.99,67.86
age12-104729,2042-06-30,2042/43,28,86,True,87.69,93.69,96.41,93.93,80.7,93.52,95.4,89.14,80.6,55.95,72.21,67.6,71.7,71.57,68.5
age12-104729,2043-06-30,2043/44,29,87,False,88.52,94.15,96.76,94.64,81.89,94.13,95.85,90.04,81.88,56.99,73.35,68.17,72.13,72.06,69.22
age12-104729,2044-06-30,2044/45,30,88,False,89.54,94.69,97.1,95.18,83.19,94.67,96.27,90.86,83.11,58.01,74.48,68.74,72.55,72.68,69.92
age12-104729,2045-06-30,2045/46,31,89,True,90.41,95.14,97.44,95.79,84.36,95.21,96.65,91.66,84.3,59.15,75.58,69.29,72.97,73.27,70.61
age12-104729,2046-06-30,2046/47,32,89,True,91.11,95.51,97.74,96.24,85.35,95.68,96.99,92.4,85.4,60.24,76.54,69.77,73.33,73.79,71.21
age12-104729,2047-06-30,2047/48,33,90,False,91.77,95.84,98.03,96.6,86.26,96.03,97.27,92.95,86.26,61.13,77.62,70.31,73.73,74.31,71.89
age12-104729,2048-06-30,2048/49,34,90,True,92.39,96.17,98.31,96.91,87.07,96.35,97.53,93.44,87.01,62.03,78.49,70.75,74.06,74.82,72.43
