case,season,age,matches,wins,losses,titles,majorTitles,centuries,highestBreak,overall,cash,cashDelta,recordedCategoryTotal,unclassifiedCashChange,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,teamAndStoryEvents,other
age12-104729,2026/27,13,26,4,22,0,0,0,35,50,1241.5,-6758.5,-6758.5,-0.0,0,2900,-156,0,-11165,-429,-2530.8,0,450.0,4172.3
age12-104729,2027/28,14,20,0,20,0,0,0,41,53,1207.3,-34.2,-34.2,-0.0,0,2550,-464,0,-4036,-155,-1615,0,-50,3735.8
age12-104729,2028/29,15,23,3,20,0,0,0,30,56,1208.1,0.8,0.8,-0.0,3,2550,-156,0,-3816,-140,-2280,0,-50,3889.8
age12-104729,2029/30,16,26,3,23,0,0,0,50,59,2126.9,918.8,918.8,-0.0,60,2550,-1500,0,-1092,-189,-2565,0,50,3604.8
age12-104729,2030/31,17,25,6,19,0,0,0,49,62,4661.12,2534.22,2534.22,0.0,8,2956,-970,0,-84,-300,-2565,-180,-50,3719.22
age12-104729,2031/32,18,23,6,17,0,0,0,91,66,6835.76,2174.64,2174.64,0.0,0,2912,-1762,0,-38,-330,-2530.8,0,50,3873.44
age12-104729,2032/33,19,29,18,11,1,0,0,93,70,9573.86,2738.1,2738.1,0.0,65,7987,-6912,0,0,-375,-2291.4,0,450,3814.5
age12-104729,2033/34,20,27,14,13,0,0,0,97,73,8940.84,-633.02,-633.02,0.0,40,7644,-9180,0,-84,-375,-2257.2,0,200,3379.18
age12-104729,2034/35,21,31,22,9,2,0,2,112,77,11182.86,2242.02,2242.02,0.0,160,8469,-7134,0,0,-375,-2565,0,-50,3737.02
age12-104729,2035/36,22,18,7,11,0,0,1,124,80,17438.51,6255.65,6255.65,0.0,4500,8282,-2666,0,-122,-1685,-4009,-180,200,1935.65
age12-104729,2036/37,23,29,19,10,0,0,9,138,81,5653.12,-11785.39,-11785.39,0.0,1220,7426,-13780,0,0,-1785,-4041,-180,200,-845.39
age12-104729,2037/38,24,15,3,12,0,0,2,114,82,33835.39,28182.27,28182.27,0.0,5250,30194,-3544,0,-480,0,-5480.64,0,1400,842.91
age12-104729,2038/39,25,23,12,11,0,0,17,140,83,113494.22,79658.83,79658.83,0.0,32500,60362,-1872,0,-122,0,-6444.6,0,400,-5164.57
age12-104729,2039/40,26,47,39,8,2,0,26,144,85,251599.4,138105.18,138105.18,0.0,83670,59651,-1872,0,0,-1685,-3556.08,-360,450,1807.26
age12-104729,2040/41,27,38,29,9,0,0,22,142,86,301297.65,49698.25,49698.25,0.0,37120,27781,-1872,0,-122,-1785,-4041,-180,300,-7502.75
age12-104729,2041/42,28,27,14,11,0,0,18,141,86,367366.34,66068.69,66068.69,0.0,39650,39387,-1872,0,-84,0,-6193.8,-180,2000,-6638.51
age12-104729,2042/43,29,22,10,10,0,0,9,139,87,440549.83,73183.49,73183.49,0.0,24600,60688,-1872,0,-122,0,-5647.84,-180,2000,-6282.67
age12-104729,2043/44,30,34,26,8,2,0,20,147,88,513594.81,73044.98,73044.98,0.0,13320,64756,-1872,0,0,-1685,-3556.08,-180,450,1812.06
age12-104729,2044/45,31,33,26,7,2,0,17,144,89,616135.51,102540.7,102540.7,0.0,86970,27588,-1872,0,-122,-725,-3225,-180,-50,-5843.3
age12-104729,2045/46,32,24,12,10,0,0,9,131,89,665131.5,48995.99,48995.99,0.0,26500,33738,-1872,0,-84,0,-6379,-180,2000,-4727.01
age12-104729,2046/47,33,32,18,11,0,0,20,142,90,742268.7,77137.2,77137.2,0.0,40500,53631,-1872,0,-38,0,-6193.8,0,0,-8890.0
age12-104729,2047/48,34,16,13,3,0,0,6,136,90,779690.79,37422.09,37422.09,0.0,0,46870,-1872,0,-84,-1235,-1568.28,0,300,-4988.63
age12-104729,2048/49,35,24,13,9,0,0,14,130,91,852952.67,73261.88,73261.88,0.0,36500,50207,-1872,0,0,0,-6323,0,1000,-6250.12
age12-104729,2049/50,36,20,9,9,0,0,10,138,91,927427.36,74474.69,74474.69,0.0,19600,66980,-156,0,-122,0,-6228,-180,1400,-6819.31
age12-104729,2050/51,37,19,14,5,0,0,9,141,91,983602.48,56175.12,56175.12,0.0,750,66200,-1872,0,0,-1235,-1632,0,450,-6485.88
age12-104729,2051/52,38,21,10,11,0,0,13,144,91,1051737.11,68134.63,68134.63,0.0,25250,55375,-1755,0,-84,0,-6193.8,-180,2000,-6277.57
age12-104729,2052/53,39,21,9,10,0,0,17,135,91,1130292.53,78555.42,78555.42,0.0,29500,65243,-1833,0,-122,0,-6673.8,0,0,-7558.78
age12-104729,2053/54,40,15,11,4,0,0,4,142,91,1171306.63,41014.1,41014.1,0.0,0,50572,-1872,0,0,-1235,-1632,0,200,-5018.9
age12-104729,2054/55,41,18,14,4,1,0,6,135,91,1199726.34,28419.71,28419.71,0.0,4500,27375,-1872,0,0,-375,-1632,0,450,-26.29
age12-104729,2055/56,42,18,13,5,0,0,12,139,90,1219582.91,19856.57,19856.57,0.0,2500,24370,-1872,0,-122,-375,-1632,-360,200,-2852.43
age12-104729,2056/57,43,9,5,4,0,0,4,132,89,1236963.05,17380.14,17380.14,0.0,0,24616,-1872,0,0,-1235,-1632,-180,200,-2516.86
age12-104729,2057/58,44,18,13,5,0,0,6,136,88,1254461.66,17498.61,17498.61,0.0,1450,23734,-1872,0,0,-1335,-1750.68,0,300,-3027.71
age12-104729,2058/59,45,39,25,13,0,0,19,143,88,1332600.02,78138.36,78138.36,0.0,59900,33479,-1872,0,-122,0,-5731.44,-180,400,-7735.2
age12-104729,2059/60,46,28,15,11,0,0,11,144,87,1434631.54,102031.52,102031.52,0.0,52500,62677,-1872,0,-84,0,-6149.44,-360,2000,-6680.04
age12-104729,2060/61,47,21,8,11,0,0,11,138,85,1518416.64,83785.1,83785.1,0.0,30700,66793,-1872,0,0,0,-5989.84,0,1000,-6846.06
age12-104729,2061/62,48,13,8,5,0,0,2,111,84,1571442.98,53026.34,53026.34,0.0,212.5,62157,-1872,0,-122,-375,-1632,0,300,-5642.16
age12-104729,2062/63,49,16,10,6,0,0,5,129,83,1582534.94,11091.96,11091.96,0.0,0,19158,-1872,0,0,-1335,-2202,0,-50,-2607.04
age12-104729,2063/64,50,7,2,5,0,0,0,94,81,1599356.1,16821.16,16821.16,0.0,0,22339,-1443,0,0,-375,-1632,0,200,-2267.84
age12-104729,2064/65,51,11,6,5,0,0,3,133,80,1609909.45,10553.35,10553.35,0.0,150,14768,-585,0,0,-375,-1632,-180,300,-1892.65
age12-104729,2065/66,52,10,5,5,0,0,2,112,78,1614190.73,4281.28,4281.28,0.0,125,9352,-1872,0,-84,-375,-1632,-180,300,-1352.72
age12-104729,2066/67,53,6,2,4,0,0,0,73,76,1628592.7,14401.97,14401.97,0.0,0,20168,-1716,0,0,-375,-1632,0,50,-2093.03
age12-104729,2067/68,54,9,2,7,0,0,0,63,74,1642179.7,13587.0,13587.0,0.0,0,21108,-1872,0,0,-1335,-2202,0,50,-2162.0
age12-104729,2068/69,55,8,1,7,0,0,1,127,73,1653082.75,10903.05,10903.05,0.0,0,18142,-1872,0,-38,-1335,-2202,0,150,-1941.95
age12-104729,2069/70,56,6,1,5,0,0,0,60,71,1671315.12,18232.37,18232.37,0.0,0,24477,-1872,0,0,-375,-1632,0,50,-2415.63
age12-104729,2070/71,57,6,0,6,0,0,0,50,68,1683776.5,12461.38,12461.38,0.0,0,18344,-1872,0,0,-375,-1632,0,-50,-1953.62
age12-104729,2071/72,58,6,0,6,0,0,0,38,67,1697176.58,13400.08,13400.08,0.0,0,19338,-1872,0,0,-375,-1436.16,-180,-50,-2024.76
age12-104729,2072/73,59,6,1,5,0,0,0,62,64,1708709.23,11532.65,11532.65,0.0,0,17316,-1872,0,0,-375,-1632,0,-50,-1854.35
age12-104729,2073/74,60,8,0,8,0,0,0,50,62,1719600.71,10891.48,10891.48,0.0,0,17770,-1872,0,-84,-1335,-2006.16,0,300,-1881.36
age12-104729,2074/75,61,8,1,7,0,0,0,33,60,1723244.76,3644.05,3644.05,0.0,0,10366,-1872,0,0,-1335,-2133.6,0,-50,-1331.35
age12-104729,2075/76,62,6,1,5,0,0,0,33,58,1728223.15,4978.39,4978.39,0.0,0,10008,-1872,0,0,-375,-1436.16,0,-50,-1296.45
age12-104729,2076/77,63,7,1,6,0,0,0,25,56,1741519.82,13296.67,13296.67,0.0,0,19219,-1872,0,0,-375,-1436.16,-180,-50,-2009.17
age12-104729,2077/78,64,6,0,6,0,0,0,28,54,1757771.68,16251.86,16251.86,0.0,0,22425,-1872,0,0,-375,-1632,0,-50,-2244.14
age12-104729,2078/79,65,6,0,6,0,0,0,22,51,1771834.86,14063.18,14063.18,0.0,0,18308,-585,0,0,-375,-1499.88,0,150,-1934.94
age12-130363,2026/27,13,20,2,18,0,0,0,40,50,955.05,-7044.95,-7044.95,-0.0,0,2950,-156,0,-12647,-124,-1675.8,0,200,4407.85
age12-130363,2027/28,14,20,5,15,0,0,0,51,53,1158.05,203.0,203.0,-0.0,0,2310,-117,0,-4010,-80,-1710,0,-50,3860.0
age12-130363,2028/29,15,26,7,19,0,0,0,57,56,1208.61,50.56,50.56,-0.0,12,2484,-156,0,-3280,-96,-2565,0,50,3601.56
age12-130363,2029/30,16,27,6,21,0,0,0,53,59,3019.41,1810.8,1810.8,-0.0,200,2550,-1500,0,0,-254,-2565,-180,50,3509.8
age12-130363,2030/31,17,24,6,18,0,0,0,59,62,4966.63,1947.22,1947.22,0.0,0,2956,-1564,0,-84,-300,-2565,-360,50,3814.22
age12-130363,2031/32,18,25,4,21,0,0,0,67,66,6936.47,1969.84,1969.84,0.0,3,2912,-1795,0,-38,-330,-2565,0,50,3732.84
age12-130363,2032/33,19,33,17,16,0,0,0,92,70,8918.24,1981.77,1981.77,0.0,110,8319,-6171,0,0,-375,-2565,0,300,2363.77
age12-130363,2033/34,20,24,11,13,0,0,1,101,73,12981.45,4063.21,4063.21,0.0,3,8138,-5050,0,-84,-375,-2565,0,450,3546.21
age12-130363,2034/35,21,32,20,12,0,0,4,126,77,20265.65,7284.2,7284.2,0.0,38,8281,-1872,0,0,-375,-2257.2,0,450,3019.4
age12-130363,2035/36,22,18,7,11,0,0,3,108,80,23360.84,3095.19,3095.19,0.0,0,8125,-1872,0,-122,-1685,-3562.12,0,200,2011.31
age12-130363,2036/37,23,25,17,8,1,0,9,132,81,41986.6,18625.76,18625.76,0.0,10600,14257,-1872,0,-480,-825,-3756,-180,300,581.76
age12-130363,2037/38,24,19,7,10,0,0,13,142,82,86915.51,44928.91,44928.91,0.0,17850,34713,-1872,0,0,0,-5514.84,0,2000,-2247.25
