case,startAge,path,seed,seasons,endAge,matches,wins,losses,draws,winPercent,singlesTitles,worldTitles,worldFinals,prize,endCash,minimumCash,debtEpisodes,unresolvedDebt,startOverall,peakOverall,peakAge,endOverall,firstCardAge,cardAtStart,cardAtEnd,retired,finalStatus,worldRank,seniorRank,centuries,highestBreak,maximums,rawSaveBytes,sponsorIncome,otherNet,teamEvents
age12-start-club-junior-104729-30y,12,Club youth,104729,30,42,998,531,441,26,53.21,13,1,1,6236511,10885655.88,-79.0,1,False,47,90,34,89,22,False,True,False,World Champion,12,,511,147,1,130984752,4888186,-5811.4,59
age12-start-club-junior-130363-30y,12,Club youth,130363,30,42,971,495,443,33,50.98,10,0,2,4742208,8037486.19,6.0,0,False,47,90,33,89,22,False,True,False,Tour Survivor / Top 64,45,,482,145,0,131172005,3506568,23493.87,60
age12-start-club-junior-155921-50y,12,Club youth,155921,50,62,1170,563,572,35,48.12,5,0,1,3669245,7099702.14,-83.84,1,False,47,91,35,49,23,False,False,False,Senior Tour / Legend Circuit,85,24,477,144,0,221304974,3859510,-86792.34,99
age15-start-national-youth-104729-30y,15,National youth,104729,30,45,993,583,381,29,58.71,9,0,1,4148643,7519215.52,-332.75,1,False,63,93,35,90,23,False,True,False,Tour Survivor / Top 64,39,,544,144,0,131069958,3748040,-133394.16,60
age15-start-national-youth-130363-30y,15,National youth,130363,30,45,856,495,336,25,57.83,4,1,1,2539389,4746543.29,0.1,0,False,63,93,35,89,24,False,False,False,World Champion,71,,383,145,0,130438966,2565203,-133128.91,60
age18-start-elite-amateur-104729-30y,18,Elite amateur,104729,30,48,928,571,325,32,61.53,5,1,2,4646068.5,8503724.22,78,0,False,68,93,35,86,21,False,False,False,World Champion,65,,466,147,1,129883042,4227075,-132807.92,60
age18-start-elite-amateur-130363-30y,18,Elite amateur,130363,30,48,1038,649,354,35,62.52,5,0,0,4297570,7725876.5,78,0,False,68,92,34,85,20,False,True,False,Top 32 Professional,31,,641,147,2,131239867,3772671,-69706.62,60
age21-start-q-tour-104729-30y,21,Q Tour,104729,30,51,1132,710,379,43,62.72,18,2,2,10191360,18085965.64,78,0,False,72,92,35,81,24,False,False,False,World Champion,75,,693,144,0,130364064,7888648,289135.76,60
age21-start-q-tour-130363-30y,21,Q Tour,130363,30,51,911,568,302,41,62.35,4,0,0,2496282.5,4576487.65,78,0,False,72,92,34,80,24,False,True,False,Tour Survivor / Top 64,58,,491,145,0,131203928,2191943,124729.59,60
age30-start-rookie-pro-104729-30y,30,Rookie professional,104729,30,60,576,335,226,15,58.16,0,0,0,1098400,2927239.55,78,0,False,72,89,39,60,30,True,False,False,Bottom Tour / At Risk,115,,251,142,0,130032498,1649368,360552.63,60
age30-start-rookie-pro-130363-30y,30,Rookie professional,130363,30,60,642,355,271,16,55.3,4,0,1,2489450,5807697.43,78,0,False,72,89,40,58,30,True,False,False,Bottom Tour / At Risk,84,,282,144,0,130236271,3204064,322744.63,60
age40-start-top-64-104729-30y,40,Top-64 professional,104729,30,70,265,78,185,2,29.43,0,0,0,134225,1128730.02,78,0,False,74,75,43,34,40,True,False,False,Bottom Tour / At Risk,67,,8,139,0,129809320,661762,473893.06,60
age40-start-top-64-130363-30y,40,Top-64 professional,130363,30,70,245,63,181,1,25.71,0,0,0,75850,1071279.98,78,0,False,74,75,44,26,40,True,False,False,Bottom Tour / At Risk,70,,5,129,0,130091776,656458,476649.94,60
age50-start-masters-104729-30y,50,Seniors,104729,30,80,171,17,154,0,9.94,0,0,0,125,856822.48,78,0,False,68,68,50,10,,False,False,True,Retired,,,0,59,0,129219424,661934,310000.8,56
age50-start-masters-130363-30y,50,Seniors,130363,30,80,196,20,176,0,10.2,0,0,0,437.5,830208.52,78,0,False,68,68,50,10,,False,False,True,Retired,,,0,56,0,129492845,625716,326620.18,56
