case,age,date,overall,potential,cash,card,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age12-start-club-junior-104729-30y,12,2026-05-11,47,92,8000,False,41,52,51,34,40,44,48,41,40,25,41,52,60,55,49
age12-start-club-junior-104729-30y,13,2027-06-30,50,92,955.05,False,44.76,56.21,56.13,40.12,43.11,48.85,52.9,45.2,43.22,27.62,43.23,53.11,60.83,56.28,50.39
age12-start-club-junior-104729-30y,14,2028-06-30,53,93,1337.85,False,47.86,59.34,60.22,44.48,45.82,52.52,56.91,48.42,45.89,29.53,45.35,54.17,61.63,57.33,51.72
age12-start-club-junior-104729-30y,15,2029-06-30,56,90,3031.65,False,51.59,63.01,64.56,48.89,48.77,56.35,61.04,51.78,48.48,31.59,47.5,55.25,62.44,58.58,53.06
age12-start-club-junior-104729-30y,16,2030-06-30,59,93,4896.3,False,54.78,66.49,69.04,54.22,51.48,60.41,65.15,55.26,51.16,33.77,49.59,56.3,63.22,59.69,54.37
age12-start-club-junior-104729-30y,17,2031-06-30,62,90,6842.13,False,57.98,69.82,73.16,58.92,54.13,64.43,69.3,58.8,53.88,35.93,51.58,57.29,63.97,60.78,55.61
age12-start-club-junior-104729-30y,18,2032-06-30,66,94,7835.57,False,62.27,74.1,78.26,64.19,57.56,68.93,74.1,62.74,57.09,38.29,54.5,58.75,65.06,62.21,57.43
age12-start-club-junior-104729-30y,19,2033-06-30,70,88,9340.57,False,66.17,78.57,83.35,70.02,60.95,74.01,79.54,67.22,60.76,40.93,56.89,59.94,65.96,63.53,58.93
age12-start-club-junior-104729-30y,20,2034-06-30,73,91,13838.25,False,70.05,82.55,87.24,76.25,64.3,79.15,84.23,71.71,64.37,43.66,59.24,61.12,66.84,64.87,60.4
age12-start-club-junior-104729-30y,21,2035-06-30,77,95,21180.87,False,73.93,85.62,90.09,81.77,67.61,83.64,87.8,75.99,67.6,46.26,61.74,62.37,67.78,66.22,61.96
age12-start-club-junior-104729-30y,22,2036-06-30,80,94,23869.64,True,78.05,88.24,92.26,85.85,70.94,86.78,90.31,79.7,70.54,48.5,64.76,63.88,68.91,67.62,63.85
age12-start-club-junior-104729-30y,23,2037-06-30,81,95,51687.91,True,80.64,89.75,93.4,88.05,73.0,88.51,91.65,82.04,72.41,50.02,66.28,64.64,69.48,68.49,64.8
