case,season,startAge,endAge,matches,wins,losses,draws,titles,centuries,highestBreak,prize,endCash,endOverall,cardNextSeason,rankingLabel,rank,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,other
age12-start-club-junior-104729-30y,2026/27,12,13,18,3,15,0,0,0,66,0,955.05,50,False,Youth Ranking,143,0,2950,-156,0,-13049,-205,-1037.4,0,4453.45
age12-start-club-junior-104729-30y,2027/28,13,14,23,1,22,0,0,0,43,0,1337.85,53,False,Youth Ranking,93,0,2550,-271,0,-2866,-415,-2565,0,3850.8
age12-start-club-junior-104729-30y,2028/29,14,15,23,0,23,0,0,0,40,0,3031.65,56,False,Youth Ranking,74,0,2550,-1192,0,-904,-200,-2470,0,3735.8
age12-start-club-junior-104729-30y,2029/30,15,16,24,1,23,0,0,0,41,0,4896.3,59,False,Youth Ranking,97,0,2500,-1564,0,0,-255,-2565,0,3798.65
age12-start-club-junior-104729-30y,2030/31,16,17,23,0,23,0,0,0,52,0,6842.13,62,False,Youth Ranking,137,0,2914,-1784,0,0,-300,-2565,-180,3910.83
age12-start-club-junior-104729-30y,2031/32,17,18,24,2,22,0,0,0,67,0,7835.57,66,False,Youth Ranking,138,0,2912,-3368,0,0,-330,-2394.0,0,3873.44
age12-start-club-junior-104729-30y,2032/33,18,19,23,1,22,0,0,0,52,0,9340.57,70,False,Youth Ranking,136,0,7396,-6287,0,-122,-375,-2291.4,0,3134.4
age12-start-club-junior-104729-30y,2033/34,19,20,26,5,21,0,0,0,93,11,13838.25,73,False,Youth Ranking,132,11,7968,-4560,0,0,-375,-2257.2,0,3510.88
age12-start-club-junior-104729-30y,2034/35,20,21,24,2,22,0,0,1,119,0,21180.87,77,False,Youth Ranking,133,0,8268,-1872,0,0,-375,-2565,0,3436.62
age12-start-club-junior-104729-30y,2035/36,21,22,17,8,9,0,0,0,94,0,23869.64,80,True,Q School Ranking,63,0,8008,-1872,0,-84,-1685,-3724,-360,1955.77
age12-start-club-junior-104729-30y,2036/37,22,23,11,4,5,2,0,0,95,9050,51687.91,81,True,World Ranking,137,9050,20019,-1872,0,-480,-100,-1975,-360,2536.27
age12-start-club-junior-104729-30y,2037/38,23,24,26,15,11,0,0,10,130,42950,147404.32,82,False,World Ranking,100,42950,61796,-1872,0,-122,0,-5564.24,-360,-2511.35
age12-start-club-junior-104729-30y,2038/39,24,25,46,39,7,0,2,26,142,43850,247277.36,84,True,Q School Ranking,1,43850,59212,-1872,0,-84,-1685,-4041,-360,4803.04
age12-start-club-junior-104729-30y,2039/40,25,26,31,22,9,0,0,23,139,59400,340665.78,85,True,World Ranking,85,59400,42144,-1794,0,-38,0,-6228,0,-2095.58
age12-start-club-junior-104729-30y,2040/41,26,27,42,30,11,1,0,26,141,113750,507354.74,86,True,World Ranking,46,113750,63894,-1365,0,-122,0,-6316.64,0,-5151.4
age12-start-club-junior-104729-30y,2041/42,27,28,30,20,10,0,0,20,139,113750,675186.65,87,True,World Ranking,34,113750,65902,-585,0,-84,0,-6956.08,0,-5195.01
age12-start-club-junior-104729-30y,2042/43,28,29,40,30,8,2,2,23,144,662900,1406602.66,87,True,World Ranking,7,662900,67739,-1872,0,-206,0,-7252.96,-720,9827.97
age12-start-club-junior-104729-30y,2043/44,29,30,33,17,15,1,0,27,147,272400,1959613.88,88,True,World Ranking,4,272400,316879,-1872,0,-122,0,-8938.12,-360,-25375.66
age12-start-club-junior-104729-30y,2044/45,30,31,49,27,21,1,0,27,140,310700,2621554.12,88,True,World Ranking,28,310700,399100,-1872,0,-122,0,-10081,-360,-35824.76
age12-start-club-junior-104729-30y,2045/46,31,32,52,38,12,2,2,34,138,819100,3805869.96,89,True,World Ranking,5,819100,328276,-1872,0,-206,0,-9511,-360,46888.84
age12-start-club-junior-104729-30y,2046/47,32,33,36,20,15,1,0,25,136,245200,4353211.78,89,True,World Ranking,6,245200,340351,-1872,0,-122,0,-9335.56,0,-28879.62
age12-start-club-junior-104729-30y,2047/48,33,34,52,35,12,5,2,35,141,826400,5662006.34,90,True,World Ranking,13,826400,431950,-1872,0,-206,0,-8620.48,-720,60463.04
age12-start-club-junior-104729-30y,2048/49,34,35,46,28,16,2,0,28,140,313400,6340300.48,90,True,World Ranking,10,313400,409214,-1872,0,-122,0,-8790.92,0,-35534.94
age12-start-club-junior-104729-30y,2049/50,35,36,32,20,11,1,0,23,142,260750,6938589.4,90,True,World Ranking,24,260750,374400,-1872,0,-84,0,-7357.68,-540,-27407.4
age12-start-club-junior-104729-30y,2050/51,36,37,25,15,10,0,0,15,142,112200,7333039.08,90,True,World Ranking,30,112200,314094,-1872,0,-122,0,-7190.48,-360,-22299.84
age12-start-club-junior-104729-30y,2051/52,37,38,61,45,15,1,1,48,144,640600,8270648.65,90,True,World Ranking,11,640600,301582,-1872,0,-206,0,-8576.08,-540,5621.65
age12-start-club-junior-104729-30y,2052/53,38,39,40,23,14,3,0,32,141,270750,8888784.07,90,True,World Ranking,9,270750,391773,-1872,0,-122,0,-9240.56,-180,-32973.02
age12-start-club-junior-104729-30y,2053/54,39,40,34,22,11,1,0,20,136,175600,9356113.81,90,True,World Ranking,27,175600,322186,-1872,0,0,0,-6981.92,-180,-23422.34
age12-start-club-junior-104729-30y,2054/55,40,41,44,28,13,3,2,30,144,519350,10168246.61,90,True,World Ranking,16,519350,265200,-1755,0,-206,0,-8369.68,-900,37413.48
age12-start-club-junior-104729-30y,2055/56,41,42,43,30,13,0,2,38,142,424400,10885655.88,89,True,World Ranking,12,424400,264459,-975,0,-122,0,-8997.32,0,37644.59
age12-start-club-junior-130363-30y,2026/27,12,13,23,0,23,0,0,0,46,0,3643.9,50,False,Youth Ranking,103,0,2900,-772,0,-8669,-495,-2207.8,0,4411.7
age12-start-club-junior-130363-30y,2027/28,13,14,23,0,23,0,0,0,38,0,6327.2,53,False,Youth Ranking,92,0,2250,-909,0,0,-255,-2565,0,3862.3
age12-start-club-junior-130363-30y,2028/29,14,15,24,1,23,0,0,0,32,0,7170.46,56,False,Youth Ranking,95,0,2544,-2620,0,0,-255,-2565,0,3789.26
age12-start-club-junior-130363-30y,2029/30,15,16,24,1,23,0,0,0,43,0,7904.26,59,False,Youth Ranking,96,0,2550,-2741,0,0,-255,-2565,0,3794.8
age12-start-club-junior-130363-30y,2030/31,16,17,23,0,23,0,0,0,48,0,8273.21,62,False,Youth Ranking,136,0,2650,-3203,0,-84,-300,-2565,0,3920.95
age12-start-club-junior-130363-30y,2031/32,17,18,23,0,23,0,0,0,50,0,8399.28,66,False,Youth Ranking,139,0,2826,-3588,0,0,-330,-2565,0,3833.07
age12-start-club-junior-130363-30y,2032/33,18,19,23,2,21,0,0,0,81,0,9893.9,70,False,Youth Ranking,136,0,8343,-7156,0,-38,-375,-2565,0,3135.62
age12-start-club-junior-130363-30y,2033/34,19,20,28,9,19,0,0,1,103,48,13706.34,74,False,Youth Ranking,72,48,8138,-4560,0,-84,-375,-2565,0,3160.44
age12-start-club-junior-130363-30y,2034/35,20,21,29,9,20,0,1,3,141,50,22267.34,77,False,Youth Ranking,104,50,8281,-1872,0,0,-375,-2257.2,0,4284.2
age12-start-club-junior-130363-30y,2035/36,21,22,22,12,10,0,0,7,120,0,24326.93,80,True,Q School Ranking,40,0,8125,-1872,0,-564,-1685,-3562.12,-360,1927.71
age12-start-club-junior-130363-30y,2036/37,22,23,28,14,14,0,0,10,139,50150,102016.52,81,True,World Ranking,93,50150,36257,-1872,0,-38,0,-6205.2,-720,-1282.21
age12-start-club-junior-130363-30y,2037/38,23,24,28,16,11,1,0,15,135,42450,198269.78,82,False,World Ranking,69,42450,62556,-1872,0,-84,0,-5815.04,0,-2981.7
age12-start-club-junior-130363-30y,2038/39,24,25,36,28,8,0,0,12,141,8960,243848.79,84,True,Q School Ranking,8,8960,51312,-1872,0,-122,-1685,-3369.0,0,-7944.99
age12-start-club-junior-130363-30y,2039/40,25,26,30,20,10,0,0,18,137,60400,326049.98,85,True,World Ranking,83,60400,28863,-1794,0,-84,0,-6228,0,-955.81
age12-start-club-junior-130363-30y,2040/41,26,27,58,42,16,0,1,30,137,273200,669977.87,86,True,World Ranking,23,273200,81944,-1794,0,-122,0,-6841.04,0,-3459.07
age12-start-club-junior-130363-30y,2041/42,27,28,30,20,9,1,0,28,135,113100,914944.3,87,True,World Ranking,24,113100,153819,-1872,0,-122,0,-8934.64,-360,-10663.93
age12-start-club-junior-130363-30y,2042/43,28,29,44,32,11,1,1,41,140,680050,1763875.88,87,True,World Ranking,7,680050,174188,-1014,0,-206,0,-8244.72,-540,3698.3
age12-start-club-junior-130363-30y,2043/44,29,30,42,26,14,2,1,28,144,375550,2418390.84,88,True,World Ranking,8,375550,286924,-1014,0,-122,0,-9796,-180,2752.96
age12-start-club-junior-130363-30y,2044/45,30,31,49,33,12,4,3,44,145,905600,3757561.24,89,True,World Ranking,17,905600,355288,-1872,0,-206,0,-9886.0,-180,89426.4
age12-start-club-junior-130363-30y,2045/46,31,32,51,32,15,4,1,35,141,535150,4622313.92,89,True,World Ranking,9,535150,330468,-1872,0,-122,0,-8620.48,-180,9929.16
age12-start-club-junior-130363-30y,2046/47,32,33,45,28,15,2,1,36,142,478550,5424122.68,90,True,World Ranking,7,478550,324012,-1872,0,-122,0,-8536.88,0,9777.64
