case,startAge,path,seed,seasons,status,endAge,matches,wins,losses,draws,winPercent,singlesTitles,worldTitles,worldFinals,prize,endCash,minimumCash,debtEpisodes,unresolvedDebt,startOverall,peakOverall,peakAge,endOverall,firstCardAge,cardAtStart,cardAtEnd,retired,finalStatus,worldRank,seniorRank,centuries,highestBreak,maximums,rawSaveBytes,sponsorIncome,otherNet,teamEvents
age12-start-club-junior-104729-30y,12,Club youth,104729,30,completed,42,962,491,445,26,51.04,11,1,1,5456558,8969440.83,-79.0,1,False,47,91,35,90,23,False,True,False,World Champion,19,,436,145,0,131114493,3661303,83265.27,60
age12-start-club-junior-130363-30y,12,Club youth,130363,30,completed,42,965,510,438,17,52.85,8,0,2,5229763,8971243.31,6.0,0,False,47,90,33,89,24,False,True,False,Top 32 Professional,27,,475,144,0,131117009,4048081,-63294.17,60
age12-start-club-junior-155921-50y,12,Club youth,155921,50,completed,62,1032,472,538,22,45.74,7,1,1,3623105.5,7052301.42,-83.84,1,False,47,91,35,49,25,False,False,False,World Champion,90,,433,144,0,220904074,3813920,-69816.44,100
age15-start-national-youth-104729-30y,15,National youth,104729,30,completed,45,1008,597,372,39,59.23,10,0,1,4262040,7615937.58,-332.75,1,False,63,93,35,90,22,False,True,False,Top 32 Professional,24,,559,144,0,130982265,3763159,-152839.74,60
age15-start-national-youth-130363-30y,15,National youth,130363,30,completed,45,1211,735,440,36,60.69,28,1,1,9595431,15853116.62,0.1,0,False,63,93,35,89,23,False,True,False,World Champion,4,,639,147,3,131541646,5996893,526078.22,60
age18-start-elite-amateur-104729-30y,18,Elite amateur,104729,30,completed,48,1061,662,372,27,62.39,13,1,2,6782156,12253813.86,78,0,False,68,93,35,86,21,False,True,False,World Champion,20,,598,147,1,130896965,5782062,-33600.26,60
age18-start-elite-amateur-130363-30y,18,Elite amateur,130363,30,completed,48,1078,661,387,30,61.32,12,1,2,6269500,10723211.89,78,0,False,68,92,34,85,20,False,True,False,World Champion,56,,631,147,3,131093403,4710399,22699.81,60
age21-start-q-tour-104729-30y,21,Q Tour,104729,30,completed,51,1134,707,392,35,62.35,20,2,3,9230072.5,16857771.57,78,0,False,72,92,35,81,24,False,False,False,World Champion,73,,683,145,0,130412850,7470108,434604.79,60
age21-start-q-tour-130363-30y,21,Q Tour,130363,20,incomplete,41,613,392,192,29,63.95,3,0,0,1318120,2730738.17,78,0,False,72,92,34,92,24,False,True,False,Tour Survivor / Top 64,62,,363,145,0,92306423,1228939,100603.56,40
age30-start-rookie-pro-104729-30y,30,Rookie professional,104729,30,completed,60,705,398,287,20,56.45,6,0,1,3484500,7010102.77,78,0,False,72,89,40,60,30,True,False,False,Bottom Tour / At Risk,70,,367,147,1,129909160,3356088,376214.29,60
age30-start-rookie-pro-130363-30y,30,Rookie professional,130363,30,completed,60,646,381,239,26,58.98,9,1,1,3654300,6893499.91,78,0,False,72,89,39,58,30,True,False,False,World Champion,77,,343,145,0,130005604,2988653,439808.71,60
age40-start-top-64-104729-30y,40,Top-64 professional,104729,30,completed,70,269,78,190,1,29.0,0,0,0,178612.5,1236524.77,78,0,False,74,75,43,38,40,True,False,False,Bottom Tour / At Risk,66,,9,137,0,129816441,734813,466641.23,60
age40-start-top-64-130363-30y,40,Top-64 professional,130363,30,completed,70,265,68,196,1,25.66,0,0,0,124500,1193720.93,78,0,False,74,74,40,38,40,True,False,False,Bottom Tour / At Risk,109,,6,132,0,130062736,746323,466540.65,60
age50-start-masters-104729-30y,50,Seniors,104729,30,completed,80,179,18,161,0,10.06,0,0,0,125,812092.76,78,0,False,68,68,50,38,,False,False,True,Retired,,,0,59,0,129260812,613522,317842.56,56
age50-start-masters-130363-30y,50,Seniors,130363,30,completed,80,194,21,173,0,10.82,0,0,0,437.5,834070.18,78,0,False,68,68,50,38,,False,False,True,Retired,,,0,56,0,129493901,627614,327046.12,56
