case,age,date,overall,potential,cash,card,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age12-start-club-junior-104729-30y,12,2026-05-11,47,92,8000,False,41,52,51,34,40,44,48,41,40,25,41,52,60,55,49
age12-start-club-junior-104729-30y,13,2027-06-30,50,92,955.05,False,44.76,56.21,56.13,40.12,43.11,48.85,52.9,45.2,43.22,27.62,43.23,53.11,60.83,56.28,50.39
age12-start-club-junior-104729-30y,14,2028-06-30,53,93,1337.85,False,47.86,59.34,60.22,44.48,45.82,52.52,56.91,48.42,45.89,29.53,45.35,54.17,61.63,57.33,51.72
age12-start-club-junior-104729-30y,15,2029-06-30,56,90,3031.65,False,51.59,63.01,64.56,48.89,48.77,56.35,61.04,51.78,48.48,31.59,47.5,55.25,62.44,58.58,53.06
age12-start-club-junior-104729-30y,16,2030-06-30,59,93,4896.3,False,54.78,66.49,69.04,54.22,51.48,60.41,65.15,55.26,51.16,33.77,49.59,56.3,63.22,59.69,54.37
age12-start-club-junior-104729-30y,17,2031-06-30,62,90,5994.25,False,57.98,69.82,73.16,58.92,54.12,64.45,69.32,58.81,53.89,35.94,51.58,57.29,63.97,60.77,55.61
age12-start-club-junior-104729-30y,18,2032-06-30,66,94,8249.65,False,62.27,74.1,78.25,64.22,57.55,68.93,74.1,62.74,57.08,38.29,54.5,58.75,65.06,62.21,57.43
age12-start-club-junior-104729-30y,19,2033-06-30,70,88,9874.77,False,66.18,78.56,83.34,70.05,60.94,74.0,79.53,67.21,60.75,40.93,56.89,59.94,65.96,63.53,58.93
age12-start-club-junior-104729-30y,20,2034-06-30,73,91,14100.19,False,70.03,82.54,87.21,76.25,64.26,79.09,84.19,71.66,64.33,43.63,59.24,61.12,66.84,64.86,60.4
age12-start-club-junior-104729-30y,21,2035-06-30,77,95,20773.14,False,73.91,85.61,90.06,81.74,67.58,83.61,87.78,75.96,67.56,46.24,61.73,62.36,67.77,66.21,61.96
age12-start-club-junior-104729-30y,22,2036-06-30,80,94,23461.91,False,78.01,88.22,92.27,85.94,70.92,86.76,90.3,79.66,70.51,48.49,64.79,63.9,68.92,67.6,63.87
age12-start-club-junior-104729-30y,23,2037-06-30,81,95,25316.89,True,80.19,89.56,93.25,87.81,72.68,88.32,91.51,81.8,72.26,49.83,66.05,64.52,69.39,68.33,64.65
