case,season,startAge,endAge,matches,wins,losses,draws,titles,centuries,highestBreak,prize,endCash,endOverall,cardNextSeason,rankingLabel,rank,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,other
age12-start-club-junior-104729-30y,2026/27,12,13,18,3,15,0,0,0,66,0,955.05,50,False,Youth Ranking,143,0,2950,-156,0,-13049,-205,-1037.4,0,4453.45
age12-start-club-junior-104729-30y,2027/28,13,14,23,1,22,0,0,0,43,0,1337.85,53,False,Youth Ranking,93,0,2550,-271,0,-2866,-415,-2565,0,3850.8
age12-start-club-junior-104729-30y,2028/29,14,15,23,0,23,0,0,0,40,0,3031.65,56,False,Youth Ranking,74,0,2550,-1192,0,-904,-200,-2470,0,3735.8
age12-start-club-junior-104729-30y,2029/30,15,16,24,1,23,0,0,0,41,0,4896.3,59,False,Youth Ranking,97,0,2500,-1564,0,0,-255,-2565,0,3798.65
age12-start-club-junior-104729-30y,2030/31,16,17,23,0,23,0,0,0,52,0,5994.25,62,False,Youth Ranking,137,0,2650,-2378,0,0,-300,-2565,-180,3920.95
age12-start-club-junior-104729-30y,2031/32,17,18,24,2,22,0,0,0,67,0,8249.65,66,False,Youth Ranking,138,0,2600,-1806,0,0,-330,-2394.0,0,3885.4
age12-start-club-junior-104729-30y,2032/33,18,19,23,1,22,0,0,0,77,0,9874.77,70,False,Youth Ranking,136,0,7260,-6287,0,-122,-375,-2257.2,0,3206.32
age12-start-club-junior-104729-30y,2033/34,19,20,24,3,21,0,0,0,77,8,14100.19,73,False,Youth Ranking,132,8,7716,-4560,0,0,-375,-2257.2,0,3543.62
age12-start-club-junior-104729-30y,2034/35,20,21,24,3,21,0,0,0,96,0,20773.14,77,False,Youth Ranking,134,0,7916,-1872,0,0,-375,-2565,-180,3548.95
age12-start-club-junior-104729-30y,2035/36,21,22,21,10,11,0,0,5,121,0,23461.91,80,False,Q School Ranking,62,0,8105,-1872,0,-84,-1685,-3596.32,-180,1951.09
age12-start-club-junior-104729-30y,2036/37,22,23,29,19,10,0,0,9,134,2350,25316.89,81,True,Q School Ranking,71,2350,8733,-1872,0,-518,-1785,-4041,-180,-1032.02
age12-start-club-junior-104729-30y,2037/38,23,24,30,17,11,2,0,15,139,52350,92151.16,82,True,World Ranking,89,52350,22159,-1872,0,-84,0,-5731.44,-180,-207.29
age12-start-club-junior-104729-30y,2038/39,24,25,28,19,8,1,0,11,131,40800,185786.15,84,False,World Ranking,66,40800,63237,-1872,0,-122,0,-6494,0,-2914.01
age12-start-club-junior-104729-30y,2039/40,25,26,34,23,11,0,0,18,141,3850,226477.44,85,False,Q School Ranking,2,3850,51157,-1755,0,0,-1685,-3590.28,0,-7485.43
age12-start-club-junior-104729-30y,2040/41,26,27,35,27,8,0,1,14,138,15500,262924.06,86,True,Q School Ranking,15,15500,27017,-546,0,-122,-1785,-4041,-360,333.62
age12-start-club-junior-104729-30y,2041/42,27,28,29,18,10,1,0,17,145,42600,344258.2,87,True,World Ranking,95,42600,47052,-1443,0,-84,0,-6159.6,-180,-2451.26
age12-start-club-junior-104729-30y,2042/43,28,29,42,32,9,1,0,29,142,136100,530853.0,87,True,World Ranking,38,136100,62340,-1872,0,-122,0,-6400.24,0,-4450.96
age12-start-club-junior-104729-30y,2043/44,29,30,27,14,12,1,0,14,134,68750,660423.91,88,True,World Ranking,32,68750,71764,-1872,0,-84,0,-6651.04,-180,-4156.05
age12-start-club-junior-104729-30y,2044/45,30,31,33,24,8,1,1,22,139,303500,1061465.21,89,True,World Ranking,45,303500,101776,-1872,0,-122,0,-8836,0,4595.3
age12-start-club-junior-104729-30y,2045/46,31,32,30,18,11,1,0,15,136,82900,1230016.13,89,True,World Ranking,39,82900,102008,-1872,0,-38,0,-7558,0,-6889.08
age12-start-club-junior-104729-30y,2046/47,32,33,35,23,10,2,0,24,141,278150,1595053.38,90,True,World Ranking,20,278150,103311,-1872,0,-84,0,-7843,0,-8024.75
age12-start-club-junior-104729-30y,2047/48,33,34,20,8,10,2,0,7,135,76150,1801214.46,90,True,World Ranking,21,76150,148839,-1872,0,-122,0,-8026.48,0,-9807.44
age12-start-club-junior-104729-30y,2048/49,34,35,46,33,12,1,2,25,139,842850,2840067.81,91,True,World Ranking,8,842850,183224,-1872,0,-122,0,-8369.68,0,21743.03
age12-start-club-junior-104729-30y,2049/50,35,36,48,29,19,0,2,22,141,589500,3742505.95,91,True,World Ranking,3,589500,291015,-1872,0,-206,0,-8871.28,-540,31412.42
age12-start-club-junior-104729-30y,2050/51,36,37,40,27,12,1,2,35,141,774150,4957507.36,91,True,World Ranking,3,774150,393008,-1872,0,-84,0,-8871.28,-720,57990.69
age12-start-club-junior-104729-30y,2051/52,37,38,51,25,24,2,0,36,142,484850,5800441.88,91,True,World Ranking,3,484850,401852,-1872,0,-206,0,-10366,-360,-32963.48
age12-start-club-junior-104729-30y,2052/53,38,39,48,31,15,2,0,31,145,362150,6527880.84,91,True,World Ranking,16,362150,411336,-1872,0,-122,0,-9796,0,-36257.04
age12-start-club-junior-104729-30y,2053/54,39,40,44,30,12,2,2,29,137,749500,7727402.47,91,True,World Ranking,5,749500,402446,-1872,0,-122,0,-9321,-720,58610.63
age12-start-club-junior-104729-30y,2054/55,40,41,53,30,19,4,1,29,141,380950,8523352.43,90,True,World Ranking,6,380950,413712,-1716,0,-206,0,-10081,-180,12070.96
age12-start-club-junior-104729-30y,2055/56,41,42,33,20,11,2,0,29,144,169600,8969440.83,90,True,World Ranking,19,169600,308520,-156,0,-122,0,-9406,0,-22747.6
age12-start-club-junior-130363-30y,2026/27,12,13,23,0,23,0,0,0,46,0,3643.9,50,False,Youth Ranking,103,0,2900,-772,0,-8669,-495,-2207.8,0,4411.7
age12-start-club-junior-130363-30y,2027/28,13,14,23,0,23,0,0,0,38,0,6327.2,53,False,Youth Ranking,92,0,2250,-909,0,0,-255,-2565,0,3862.3
age12-start-club-junior-130363-30y,2028/29,14,15,24,1,23,0,0,0,32,0,7170.46,56,False,Youth Ranking,95,0,2544,-2620,0,0,-255,-2565,0,3789.26
age12-start-club-junior-130363-30y,2029/30,15,16,24,1,23,0,0,0,43,0,7904.26,59,False,Youth Ranking,96,0,2550,-2741,0,0,-255,-2565,0,3794.8
age12-start-club-junior-130363-30y,2030/31,16,17,23,0,23,0,0,0,48,0,8273.21,62,False,Youth Ranking,136,0,2650,-3203,0,-84,-300,-2565,0,3920.95
age12-start-club-junior-130363-30y,2031/32,17,18,23,0,23,0,0,0,50,0,9131.06,66,False,Youth Ranking,139,0,2550,-2796,0,0,-330,-2359.8,0,3843.65
age12-start-club-junior-130363-30y,2032/33,18,19,23,0,23,0,0,0,81,0,10673.38,70,False,Youth Ranking,136,0,6890,-5988,0,-38,-375,-2530.8,0,3284.12
age12-start-club-junior-130363-30y,2033/34,19,20,23,5,18,0,0,0,86,0,12481.33,73,False,Youth Ranking,133,0,8392,-7008,0,-84,-375,-2257.2,0,3090.15
age12-start-club-junior-130363-30y,2034/35,20,21,25,10,15,0,0,2,106,3,18721.95,77,False,Youth Ranking,135,3,8075,-2329,0,0,-375,-2257.2,0,3073.82
age12-start-club-junior-130363-30y,2035/36,21,22,18,7,11,0,0,0,92,0,21888.5,80,False,Q School Ranking,97,0,8173,-1872,0,-84,-1685,-3562.12,-180,2176.67
age12-start-club-junior-130363-30y,2036/37,22,23,35,24,11,0,0,9,139,6310,32833.14,81,False,Q School Ranking,47,6310,15209,-1872,0,-518,-1785,-4326,-180,-1943.36
age12-start-club-junior-130363-30y,2037/38,23,24,31,22,9,0,0,14,142,6800,53198.45,82,True,Q School Ranking,28,6800,22983,-1872,0,-84,-1785,-3556.08,-180,-2140.61
age12-start-club-junior-130363-30y,2038/39,24,25,27,17,10,0,0,12,139,39300,128360.79,83,True,World Ranking,99,39300,41681,-156,0,-38,0,-5549.04,-360,-1115.62
age12-start-club-junior-130363-30y,2039/40,25,26,30,19,9,2,0,24,140,67400,249263.16,85,True,World Ranking,59,67400,63836,-1872,0,-84,0,-5815.04,0,-3362.59
age12-start-club-junior-130363-30y,2040/41,26,27,30,20,9,1,0,16,140,92100,392508.91,86,True,World Ranking,43,92100,64490,-1794,0,-122,0,-6703,-180,-4545.25
age12-start-club-junior-130363-30y,2041/42,27,28,44,32,10,2,1,36,142,341250,835535.78,86,True,World Ranking,20,341250,112604,-1794,0,-122,0,-8249.12,0,-1662.01
age12-start-club-junior-130363-30y,2042/43,28,29,45,31,14,0,1,47,143,898000,1872642.2,87,True,World Ranking,7,898000,147200,-1872,0,-206,0,-8518,-540,1642.42
age12-start-club-junior-130363-30y,2043/44,29,30,39,24,15,0,1,25,139,558300,2708278.07,88,True,World Ranking,4,558300,284738,-1872,0,-206,0,-10081,0,3756.87
age12-start-club-junior-130363-30y,2044/45,30,31,42,25,14,3,1,19,139,423300,3503495.15,88,True,World Ranking,14,423300,376380,-1872,0,-122,0,-9478.36,-180,5189.44
age12-start-club-junior-130363-30y,2045/46,31,32,63,43,19,1,2,37,141,772400,4727222.39,89,True,World Ranking,8,772400,406750,-1872,0,-206,0,-8787.68,-360,55402.92
age12-start-club-junior-130363-30y,2046/47,32,33,50,33,16,1,0,34,140,389300,5482565.23,90,True,World Ranking,7,389300,410962,-1872,0,-122,0,-8620.48,-180,-35124.68
