case,age,date,overall,potential,cash,card,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age12-start-club-junior-130363-3y,12,2026-05-11,47,92,8000,False,41,52,51,34,40,44,48,41,40,25,41,52,60,55,49
age12-start-club-junior-130363-3y,13,2027-06-30,50,92,3643.9,False,44.75,56.1,55.84,39.58,43.01,48.53,52.6,44.95,43.2,27.38,43.1,53.05,60.79,56.25,50.31
age12-start-club-junior-130363-3y,14,2028-06-30,53,93,6327.2,False,47.89,59.27,59.92,43.85,45.73,52.27,56.71,48.25,45.87,29.31,45.34,54.17,61.63,57.32,51.71
age12-start-club-junior-130363-3y,15,2029-06-30,56,90,7170.46,False,51.54,62.95,64.33,48.41,48.67,56.21,60.92,51.72,48.53,31.43,47.41,55.21,62.4,58.56,53.01
age15-start-national-youth-130363-3y,15,2026-05-11,63,97,8000,False,56,67,66,49,55,61,65,58,63,50,56,64,72,67,61
age15-start-national-youth-130363-3y,16,2027-06-30,66,99,946.7,False,59.61,71.18,71.05,55.13,58.04,65.94,69.94,62.31,66.42,52.62,58.09,65.04,72.78,68.22,62.3
age15-start-national-youth-130363-3y,17,2028-06-30,70,98,1136.55,False,62.77,74.42,75.25,59.73,60.77,69.84,74.12,65.72,69.14,54.67,60.34,66.17,73.63,69.31,63.71
age15-start-national-youth-130363-3y,18,2029-06-30,73,99,1193.26,False,67.28,78.78,80.65,65.38,64.41,74.7,79.32,70.0,72.44,57.26,62.97,67.48,74.61,70.84,65.35
age18-start-elite-amateur-130363-3y,18,2026-05-11,68,96,8000,False,61,72,71,54,60,66,70,63,72,59,59,67,75,70,64
age18-start-elite-amateur-130363-3y,19,2027-06-30,72,90,10316.78,False,65.56,77.01,76.9,60.6,63.74,71.7,75.86,68.01,76.11,61.96,61.55,68.27,75.96,71.52,65.59
age18-start-elite-amateur-130363-3y,20,2028-06-30,75,93,27398.41,True,69.49,80.86,81.78,65.74,67.07,76.02,80.57,71.8,79.31,64.18,64.23,69.61,76.96,72.85,67.27
age18-start-elite-amateur-130363-3y,21,2029-06-30,79,97,114778.04,True,73.87,84.79,85.9,70.75,70.52,80.48,84.81,75.76,82.32,66.58,66.61,70.8,77.85,74.31,68.76
age21-start-q-tour-130363-3y,21,2026-05-11,72,90,8000,False,65,76,75,58,64,70,74,67,77,64,61,69,77,72,66
age21-start-q-tour-130363-3y,22,2027-06-30,78,92,26739.01,False,71.36,82.78,83.07,67.53,69.19,78.11,82.21,74.12,82.35,68.32,64.61,70.81,78.35,74.14,68.26
age21-start-q-tour-130363-3y,23,2028-06-30,80,94,49017.23,False,74.92,85.49,86.48,72.14,72.27,82.12,85.81,77.77,84.87,70.4,67.04,72.02,79.26,75.36,69.77
age21-start-q-tour-130363-3y,24,2029-06-30,82,96,77062.46,True,77.2,87.09,88.29,75.21,74.17,84.35,87.69,80.12,86.2,71.81,68.41,72.7,79.78,76.14,70.63
age30-start-rookie-pro-130363-3y,30,2026-05-11,72,82,8000,True,65,76,75,58,64,71,75,68,80,66,59,66,74,69,63
age30-start-rookie-pro-130363-3y,31,2027-06-30,77,88,69359.43,True,71.14,82.4,82.66,66.77,69.04,78.51,82.6,74.61,84.63,70.03,62.21,67.61,75.21,71.06,65.01
age30-start-rookie-pro-130363-3y,32,2028-06-30,80,91,171867.85,False,74.99,85.55,86.58,72.47,72.36,82.89,86.33,78.62,87.05,72.42,64.97,68.99,76.24,72.37,66.73
age30-start-rookie-pro-130363-3y,33,2029-06-30,82,94,231022.1,False,77.42,87.32,88.46,75.71,74.29,85.02,88.12,80.92,88.14,73.87,66.38,69.69,76.77,73.19,67.61
age40-start-top-64-130363-3y,40,2026-05-11,74,76,8000,True,67,78,77,60,68,75,78,71,85,70,57,65,73,68,61
age40-start-top-64-130363-3y,41,2027-06-30,74,76,71022.56,True,67.4,78.2,77.5,61.28,68.52,76.37,79.4,72.21,85.7,70.72,56.39,64.3,71.29,67.27,60.01
age40-start-top-64-130363-3y,42,2028-06-30,74,76,183513.15,False,67.49,77.99,77.58,62.13,68.84,77.39,80.5,73.1,86.24,71.25,55.65,63.45,69.29,66.27,58.83
age40-start-top-64-130363-3y,43,2029-06-30,74,76,243771.01,True,67.6,77.85,77.58,63.03,69.14,78.54,81.66,74.11,86.75,71.89,54.6,62.36,66.97,65.11,57.37
age50-start-masters-104729-30y,50,2026-05-11,68,68,8000,False,59,70,69,52,58,81,80,73,89,72,39,53,57,56,42
age50-start-masters-104729-30y,51,2027-06-30,67,67,70788.61,False,57.79,68.06,67.3,52.3,57.58,81.25,80.32,73.6,89.33,72.31,37.3,50.69,52.68,53.43,39.82
age50-start-masters-104729-30y,52,2028-06-30,65,65,127969.57,False,56.34,65.8,65.28,52.25,56.98,81.09,80.27,73.96,89.59,72.44,35.59,48.34,48.56,50.77,37.65
age50-start-masters-104729-30y,53,2029-06-30,65,65,157230.12,False,54.85,63.55,63.18,52.15,56.32,80.76,80.04,74.31,89.87,72.54,33.78,45.91,44.62,48.11,35.43
age50-start-masters-104729-30y,54,2030-06-30,64,64,180232.68,False,53.11,61.06,60.91,52.0,55.5,80.15,79.51,74.54,90.13,72.53,31.95,43.45,40.91,45.39,33.24
age50-start-masters-104729-30y,55,2031-06-30,62,62,210356.46,False,51.28,58.46,58.48,51.67,54.56,79.3,78.72,74.72,90.42,72.45,30.09,40.97,37.41,42.7,31.06
age50-start-masters-104729-30y,56,2032-06-30,60,60,240601.46,False,49.16,55.56,55.66,50.77,53.33,77.71,77.22,74.41,90.57,72.02,28.18,38.47,34.11,39.95,28.9
age50-start-masters-104729-30y,57,2033-06-30,59,59,267477.28,False,46.91,52.59,52.77,49.86,51.97,76.01,75.57,74.08,90.75,71.56,26.22,35.91,30.96,37.2,26.73
age50-start-masters-104729-30y,58,2034-06-30,57,57,295753.48,False,44.5,49.47,49.74,48.8,50.42,74.08,73.68,73.63,90.93,70.99,24.27,33.35,27.97,34.45,24.59
