case,season,startAge,endAge,matches,wins,losses,draws,titles,centuries,highestBreak,prize,endCash,endOverall,cardNextSeason,rankingLabel,rank,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,other
age12-start-club-junior-130363-3y,2026/27,12,13,23,0,23,0,0,0,46,0,3643.9,50,False,Youth Ranking,103,0,2900,-772,0,-8669,-495,-2207.8,0,4411.7
age12-start-club-junior-130363-3y,2027/28,13,14,23,0,23,0,0,0,38,0,6327.2,53,False,Youth Ranking,92,0,2250,-909,0,0,-255,-2565,0,3862.3
age12-start-club-junior-130363-3y,2028/29,14,15,24,1,23,0,0,0,32,0,7170.46,56,False,Youth Ranking,95,0,2544,-2620,0,0,-255,-2565,0,3789.26
age15-start-national-youth-130363-3y,2026/27,15,16,23,5,18,0,0,0,67,0,946.7,66,False,Youth Ranking,114,0,2900,-156,0,-11781,-300,-2280,0,4316.7
age15-start-national-youth-130363-3y,2027/28,16,17,23,4,19,0,0,0,83,0,1136.55,70,False,Youth Ranking,110,0,2340,-117,0,-3452,-210,-2185,0,3763.85
age15-start-national-youth-130363-3y,2028/29,17,18,23,1,22,0,0,0,99,0,1193.26,73,False,Youth Ranking,138,0,2454,-464,0,-2946,-390,-2565,0,3887.71
age18-start-elite-amateur-130363-3y,2026/27,18,19,35,14,21,0,0,0,80,0,10316.78,72,False,Q School Ranking,168,0,26645,-13120,0,-8302,-1770,-4576.8,0,3240.58
age18-start-elite-amateur-130363-3y,2027/28,19,20,36,12,24,0,0,0,88,0,27398.41,75,True,Q School Ranking,68,0,20912,-117,0,-564,-1830,-4173.64,0,2654.27
age18-start-elite-amateur-130363-3y,2028/29,20,21,28,15,10,3,0,2,107,38050,114778.04,79,True,World Ranking,92,38050,55178,-1872,0,-122,0,-6228,0,1373.63
age21-start-q-tour-130363-3y,2026/27,21,22,12,5,7,0,0,2,108,0,26739.01,78,False,Q School Ranking,94,0,26556,-7146,0,-8782,-1335,-2072.8,0,11318.81
age21-start-q-tour-130363-3y,2027/28,22,23,30,19,11,0,0,5,134,750,49017.23,80,False,Q School Ranking,29,750,21704,-936,0,0,-1785,-3806.88,-180,6082.1
age21-start-q-tour-130363-3y,2028/29,23,24,39,30,9,0,0,19,138,8460,77062.46,82,True,Q School Ranking,54,8460,21902,-1014,0,-122,-1785,-3793.68,-540,4487.91
age30-start-rookie-pro-130363-3y,2026/27,30,31,24,12,11,1,0,2,107,30250,69359.43,77,True,World Ranking,91,30250,37404,-8862,0,-8782,0,-6152,0,15501.43
age30-start-rookie-pro-130363-3y,2027/28,31,32,28,17,10,1,0,8,139,44500,171867.85,80,False,World Ranking,70,44500,53667,-1794,0,-84,0,-6516.8,0,11736.22
age30-start-rookie-pro-130363-3y,2028/29,32,33,17,12,5,0,0,8,144,350,231022.1,82,False,Q School Ranking,6,350,49430,-1443,0,-38,-1235,-1470.36,0,13110.61
age40-start-top-64-130363-3y,2026/27,40,41,21,10,11,0,0,1,115,36500,71022.56,74,True,World Ranking,60,36500,37454,-8950,0,-8782,0,-7587,-540,12927.56
age40-start-top-64-130363-3y,2027/28,41,42,27,16,11,0,0,3,132,53650,183513.15,74,False,World Ranking,68,53650,56643,-1794,0,-84,0,-6923.4,0,10998.99
age40-start-top-64-130363-3y,2028/29,42,43,11,8,3,0,0,2,104,0,243771.01,74,True,Q School Ranking,38,0,50545,-1443,0,-38,-1235,-1185.36,0,13414.22
age50-start-masters-104729-30y,2026/27,50,51,8,4,4,0,0,0,58,125,70788.61,67,False,Senior Ranking,5,125,65959,-3162,0,-8662,-175,-1632,-180,10465.61
age50-start-masters-104729-30y,2027/28,51,52,5,1,4,0,0,0,51,0,127969.57,65,False,Senior Ranking,53,0,50388,-1794,0,0,-75,-1140,-540,9891.96
age50-start-masters-104729-30y,2028/29,52,53,10,3,7,0,0,0,53,0,157230.12,65,False,Q School Ranking,151,0,23361,-1872,0,0,-1335,-2202,0,11358.55
age50-start-masters-104729-30y,2029/30,53,54,8,1,7,0,0,0,48,0,180232.68,64,False,Q School Ranking,217,0,16677,-1872,0,0,-1335,-2202,-180,11964.56
age50-start-masters-104729-30y,2030/31,54,55,6,1,5,0,0,0,41,0,210356.46,62,False,Senior Ranking,65,0,22255,-1872,0,0,-375,-1632,0,11797.78
age50-start-masters-104729-30y,2031/32,55,56,6,1,5,0,0,0,43,0,240601.46,60,False,Senior Ranking,65,0,22452,-1872,0,0,-375,-1436.16,0,11526.16
age50-start-masters-104729-30y,2032/33,56,57,6,1,5,0,0,0,59,0,267477.28,59,False,Senior Ranking,65,0,19034,-1872,0,0,-375,-1632,0,11770.82
age50-start-masters-104729-30y,2033/34,57,58,6,1,5,0,0,0,51,0,295753.48,57,False,Senior Ranking,65,0,20320,-1872,0,-84,-375,-1436.16,0,11673.36
age50-start-masters-104729-30y,2034/35,58,59,8,1,7,0,0,0,40,0,318509.24,55,False,Q School Ranking,200,0,16148,-1872,0,0,-1335,-2138.28,0,12003.04
age50-start-masters-104729-30y,2035/36,59,60,6,0,6,0,0,0,48,0,338121.4,53,False,Senior Ranking,65,0,10865,-1872,0,0,-375,-1632,0,12676.16
age50-start-masters-104729-30y,2036/37,60,61,6,1,5,0,0,0,33,0,367033.52,51,False,Senior Ranking,66,0,21000,-1872,0,0,-375,-1436.16,0,11645.28
age50-start-masters-104729-30y,2037/38,61,62,6,1,5,0,0,0,26,0,397981.49,48,False,Senior Ranking,65,0,23636,-1872,0,0,-375,-1632,-180,11420.97
age50-start-masters-104729-30y,2038/39,62,63,6,0,6,0,0,0,35,0,428013.25,47,False,Senior Ranking,66,0,22442,-1872,0,0,-375,-1632,0,11518.76
age50-start-masters-104729-30y,2039/40,63,64,8,1,7,0,0,0,38,0,452457.07,44,False,Q School Ranking,191,0,16000,-156,0,-38,-1335,-2001.48,0,12024.3
age50-start-masters-104729-30y,2040/41,64,65,8,0,8,0,0,0,29,0,469928.4,42,False,Q School Ranking,202,0,10419,-1872,0,0,-1335,-2138.28,0,12447.61
age50-start-masters-104729-30y,2041/42,65,66,6,0,6,0,0,0,18,0,488820.98,40,False,Senior Ranking,66,0,9950,-1755,0,0,-375,-1632,0,12754.58
age50-start-masters-104729-30y,2042/43,66,67,6,0,6,0,0,0,24,0,516047.38,38,False,Senior Ranking,66,0,19140,-1833,0,0,-375,-1436.16,0,11780.56
age50-start-masters-104729-30y,2043/44,67,68,6,0,6,0,0,0,20,0,544379.28,38,False,Senior Ranking,66,0,20548,-1872,0,-84,-375,-1499.88,0,11664.78
age50-start-masters-104729-30y,2044/45,68,69,6,0,6,0,0,0,25,0,572351.08,38,False,Senior Ranking,68,0,19990,-1872,0,0,-375,-1436.16,0,11714.96
age50-start-masters-104729-30y,2045/46,69,70,8,0,8,0,0,0,21,0,594698.46,38,False,Q School Ranking,223,0,15528,-1872,0,0,-1335,-2069.88,0,12046.26
age50-start-masters-104729-30y,2046/47,70,71,4,0,4,0,0,0,18,0,613628.62,38,False,Senior Ranking,65,0,20014,-1872,0,0,-275,-1291,0,2404.16
age50-start-masters-104729-30y,2047/48,71,72,4,0,4,0,0,0,16,0,648263.56,38,False,Senior Ranking,65,0,28372,-1872,0,0,-175,-1878,0,10237.94
age50-start-masters-104729-30y,2048/49,72,73,4,0,4,0,0,0,31,0,684407.87,38,False,Senior Ranking,65,0,28354,-1872,0,0,-175,-1632,0,11519.31
age50-start-masters-104729-30y,2049/50,73,74,6,0,6,0,0,0,16,0,719762.63,38,False,Senior Ranking,70,0,27984,-1872,0,0,-375,-1632,0,11099.76
age50-start-masters-104729-30y,2050/51,74,75,6,0,6,0,0,0,15,0,749395.94,38,False,Senior Ranking,70,0,21782,-1872,0,0,-375,-1436.16,0,11584.47
