case,age,date,overall,potential,cash,card,Long Potting,Break Building,Cue Ball Control,Safety Play,Consistency,Composure,Focus,Resilience,Professionalism,Big Match Nerve,Stamina,Balance,Shoulder Health,Hand Steadiness,Recovery Rate
age21-start-q-tour-130363-30y,21,2026-05-11,72,90,8000,False,65,76,75,58,64,70,74,67,77,64,61,69,77,72,66
age21-start-q-tour-130363-30y,22,2027-06-30,78,92,26739.01,False,71.36,82.78,83.07,67.53,69.19,78.11,82.21,74.12,82.35,68.32,64.61,70.81,78.35,74.14,68.26
age21-start-q-tour-130363-30y,23,2028-06-30,80,94,49017.23,False,74.92,85.49,86.48,72.14,72.27,82.12,85.81,77.77,84.87,70.4,67.04,72.02,79.26,75.36,69.77
age21-start-q-tour-130363-30y,24,2029-06-30,82,96,77062.46,True,77.2,87.09,88.29,75.21,74.17,84.35,87.69,80.12,86.2,71.81,68.41,72.7,79.78,76.14,70.63
age21-start-q-tour-130363-30y,25,2030-06-30,84,98,150762.83,True,79.01,88.31,89.74,78.39,75.78,86.16,89.13,82.12,87.33,73.1,69.68,73.34,80.25,76.77,71.42
age21-start-q-tour-130363-30y,26,2031-06-30,85,99,261886.27,False,80.78,89.35,90.84,80.76,77.31,87.65,90.38,83.86,88.3,74.33,70.76,73.88,80.65,77.38,72.1
age21-start-q-tour-130363-30y,27,2032-06-30,86,99,347701.25,True,82.43,90.23,91.73,82.59,78.73,88.69,91.27,85.06,89.03,75.24,72.03,74.51,81.1,77.97,72.89
age21-start-q-tour-130363-30y,28,2033-06-30,87,99,418331.67,True,83.99,91.13,92.61,84.5,80.22,89.76,92.15,86.32,89.78,76.31,73.1,75.05,81.48,78.59,73.56
age21-start-q-tour-130363-30y,29,2034-06-30,88,99,509704.97,False,85.22,91.87,93.36,86.27,81.54,90.78,92.97,87.53,90.51,77.42,74.1,75.55,81.83,79.14,74.19
age21-start-q-tour-130363-30y,30,2035-06-30,89,99,580841.1,True,86.43,92.53,94.02,87.7,82.79,91.66,93.68,88.59,91.12,78.49,75.18,76.09,82.19,79.72,74.86
age21-start-q-tour-130363-30y,31,2036-06-30,90,99,665315.36,True,87.53,93.16,94.61,88.9,83.94,92.35,94.26,89.42,91.65,79.43,76.31,76.65,82.56,80.29,75.57
age21-start-q-tour-130363-30y,32,2037-06-30,90,99,805946.5,True,88.35,93.64,95.05,89.93,84.8,92.92,94.7,90.11,92.09,80.26,77.14,77.07,82.83,80.73,76.09
age21-start-q-tour-130363-30y,33,2038-06-30,91,99,944834.88,True,89.06,94.05,95.46,90.91,85.59,93.48,95.12,90.79,92.53,81.1,77.93,77.46,83.08,81.14,76.58
age21-start-q-tour-130363-30y,34,2039-06-30,92,99,1193889.35,True,89.7,94.39,95.79,91.59,86.31,93.95,95.5,91.39,92.92,81.81,78.77,77.88,83.35,81.52,77.1
age21-start-q-tour-130363-30y,35,2040-06-30,92,94,1410519.91,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,36,2041-06-30,92,94,1597447.87,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,37,2042-06-30,92,94,1880780.8,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,38,2043-06-30,92,94,2042411.45,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,39,2044-06-30,92,94,2236296.93,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,40,2045-06-30,92,92,2367296.24,True,90.39,94.76,96.12,92.24,87.06,94.36,95.84,91.91,93.28,82.47,79.63,78.32,83.62,81.95,77.64
age21-start-q-tour-130363-30y,41,2046-06-30,92,92,2498533.56,True,89.65,93.94,95.27,91.81,86.68,94.36,95.84,91.91,93.28,82.47,78.18,77.4,82.02,80.95,76.27
age21-start-q-tour-130363-30y,42,2047-06-30,91,91,2752834.45,True,88.73,92.94,94.24,91.28,86.21,94.36,95.84,91.91,93.28,82.47,76.44,76.29,80.1,79.74,74.61
age21-start-q-tour-130363-30y,43,2048-06-30,91,91,3266992.45,True,87.64,91.74,93.01,90.65,85.64,94.36,95.84,91.91,93.28,82.47,74.42,74.98,77.88,78.31,72.68
age21-start-q-tour-130363-30y,44,2049-06-30,90,90,4187388.73,True,86.37,90.35,91.58,89.9,84.98,94.36,95.84,91.91,93.28,82.47,72.13,73.48,75.38,76.66,70.5
age21-start-q-tour-130363-30y,45,2050-06-30,88,88,4684148.67,True,84.92,88.77,89.95,89.04,84.21,94.36,95.84,91.91,93.28,82.47,69.61,71.77,72.62,74.81,68.09
age21-start-q-tour-130363-30y,46,2051-06-30,87,87,5064450.35,True,83.29,86.98,88.12,88.05,83.32,94.36,95.84,91.91,93.28,82.47,66.86,69.87,69.63,72.74,65.46
age21-start-q-tour-130363-30y,47,2052-06-30,86,86,5439356.31,True,81.48,85.0,86.09,86.93,82.33,94.28,95.76,91.88,93.28,82.44,63.94,67.8,66.46,70.5,62.66
age21-start-q-tour-130363-30y,48,2053-06-30,84,84,5621135.9,True,79.49,82.85,83.88,85.69,81.21,94.11,95.58,91.82,93.28,82.39,60.89,65.57,63.17,68.09,59.73
age21-start-q-tour-130363-30y,49,2054-06-30,83,83,5742912.45,False,77.34,80.51,81.48,84.32,79.98,93.8,95.27,91.7,93.28,82.3,57.74,63.2,59.77,65.52,56.7
age21-start-q-tour-130363-30y,50,2055-06-30,82,82,5794153.17,False,75.03,78.0,78.91,82.8,78.62,93.35,94.8,91.53,93.28,82.16,54.51,60.68,56.31,62.82,53.59
age21-start-q-tour-130363-30y,51,2056-06-30,80,80,5819904.3,False,72.55,75.32,76.17,81.15,77.12,92.71,94.14,91.28,93.28,81.96,51.24,58.05,52.83,60.0,50.43
