case,season,startAge,endAge,matches,wins,losses,draws,titles,centuries,highestBreak,prize,endCash,endOverall,cardNextSeason,rankingLabel,rank,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,other
age21-start-q-tour-130363-30y,2026/27,21,22,12,5,7,0,0,2,108,0,26739.01,78,False,Q School Ranking,94,0,26556,-7146,0,-8782,-1335,-2072.8,0,11318.81
age21-start-q-tour-130363-30y,2027/28,22,23,30,19,11,0,0,5,134,750,49017.23,80,False,Q School Ranking,29,750,21704,-936,0,0,-1785,-3806.88,-180,6082.1
age21-start-q-tour-130363-30y,2028/29,23,24,39,30,9,0,0,19,138,8460,77062.46,82,True,Q School Ranking,54,8460,21902,-1014,0,-122,-1785,-3793.68,-540,4487.91
age21-start-q-tour-130363-30y,2029/30,24,25,26,13,11,2,0,12,145,32700,150762.83,84,True,World Ranking,106,32700,41562,-1872,0,-84,0,-5480.64,0,5875.01
age21-start-q-tour-130363-30y,2030/31,25,26,26,14,11,1,0,16,139,47950,261886.27,85,False,World Ranking,70,47950,64499,-1872,0,-122,0,-5788.44,-180,5636.88
age21-start-q-tour-130363-30y,2031/32,26,27,44,37,7,0,2,25,139,25140,347701.25,86,True,Q School Ranking,10,25140,53072,-1872,0,0,-1685,-3305.28,-540,14555.26
age21-start-q-tour-130363-30y,2032/33,27,28,29,20,8,1,0,14,136,39200,418331.67,87,True,World Ranking,101,39200,30392,-1872,0,-122,0,-5564.24,0,7596.66
age21-start-q-tour-130363-30y,2033/34,28,29,26,15,10,1,0,16,143,32500,509704.97,88,False,World Ranking,74,32500,58708,-1872,0,-84,0,-5480.64,0,5601.94
age21-start-q-tour-130363-30y,2034/35,29,30,40,33,7,0,1,15,136,15570,580841.1,89,True,Q School Ranking,5,15570,54850,-1872,0,-122,-1685,-3305.28,-540,7790.41
age21-start-q-tour-130363-30y,2035/36,30,31,29,19,9,1,0,18,144,55450,665315.36,90,True,World Ranking,91,55450,29929,-1872,0,-84,0,-6228,0,6279.26
age21-start-q-tour-130363-30y,2036/37,31,32,37,23,10,4,0,22,141,85100,805946.5,90,True,World Ranking,49,85100,59351,-1872,0,-122,0,-6839.8,-180,3793.94
age21-start-q-tour-130363-30y,2037/38,32,33,32,18,10,4,0,13,144,77150,944834.88,91,True,World Ranking,52,77150,66134,-1872,0,0,0,-6544.64,0,3621.02
age21-start-q-tour-130363-30y,2038/39,33,34,41,30,10,1,0,30,144,194150,1193889.35,92,True,World Ranking,33,194150,59525,-1872,0,-206,0,-7558,-180,3195.47
age21-start-q-tour-130363-30y,2039/40,34,35,28,17,10,1,0,21,136,129700,1410519.91,92,True,World Ranking,24,129700,93462,-1872,0,-38,0,-8599,0,2577.56
age21-start-q-tour-130363-30y,2040/41,35,36,21,10,11,0,0,15,142,77250,1597447.87,92,True,World Ranking,50,77250,120094,-1872,0,-84,0,-8836,0,375.96
age21-start-q-tour-130363-30y,2041/42,36,37,31,19,10,2,0,21,136,158600,1880780.8,92,True,World Ranking,37,158600,134925,-1755,0,-122,0,-7178,-180,-2357.07
age21-start-q-tour-130363-30y,2042/43,37,38,35,20,10,5,0,22,136,82450,2042411.45,92,True,World Ranking,36,82450,82365,-546,0,-84,0,-6651.04,-180,2276.69
age21-start-q-tour-130363-30y,2043/44,38,39,34,21,10,3,0,25,138,125550,2236296.93,92,True,World Ranking,42,125550,72280,-1443,0,-38,0,-7478.2,0,3014.68
age21-start-q-tour-130363-30y,2044/45,39,40,27,15,10,2,0,15,142,64900,2367296.24,92,True,World Ranking,42,64900,68444,-1872,0,-84,0,-6400.24,-180,4191.55
age21-start-q-tour-130363-30y,2045/46,40,41,26,14,11,1,0,15,126,65550,2498533.56,92,True,World Ranking,62,65550,69185,-1872,0,-122,0,-7276.8,0,4773.12
age21-start-q-tour-130363-30y,2046/47,41,42,34,22,10,2,0,23,139,184600,2752834.45,91,True,World Ranking,31,184600,73328,-1872,0,-84,0,-6316.64,-180,2825.53
age21-start-q-tour-130363-30y,2047/48,42,43,33,24,9,0,1,22,142,381000,3266992.45,91,True,World Ranking,16,381000,133507,-1872,0,-122,0,-7601,0,7846
age21-start-q-tour-130363-30y,2048/49,43,44,34,19,14,1,2,17,139,696500,4187388.73,90,True,World Ranking,11,696500,200336,-1872,0,-122,0,-9986,-180,33720.28
age21-start-q-tour-130363-30y,2049/50,44,45,36,23,12,1,1,24,139,176800,4684148.67,88,True,World Ranking,20,176800,310112,-1872,0,-84,0,-7942.88,-180,19526.82
age21-start-q-tour-130363-30y,2050/51,45,46,36,23,11,2,0,16,144,126350,5064450.35,87,True,World Ranking,31,126350,275156,-1872,0,-122,0,-8026.48,0,-12583.84
age21-start-q-tour-130363-30y,2051/52,46,47,32,21,9,2,0,29,142,207650,5439356.31,86,True,World Ranking,37,207650,180388,-1872,0,-122,0,-7524.88,-540,-5073.16
age21-start-q-tour-130363-30y,2052/53,47,48,23,11,12,0,0,11,141,70600,5621135.9,84,True,World Ranking,45,70600,120466,-1872,0,0,0,-7245.04,0,-2169.37
age21-start-q-tour-130363-30y,2053/54,48,49,25,15,10,0,0,11,139,55450,5742912.45,83,False,World Ranking,69,55450,70491,-1872,0,-84,0,-6316.64,-360,4468.19
age21-start-q-tour-130363-30y,2054/55,49,50,10,6,4,0,0,8,136,350,5794153.17,82,False,Senior Ranking,65,350,46392,-1872,0,-38,-375,-1632,0,8215.72
age21-start-q-tour-130363-30y,2055/56,50,51,8,4,4,0,0,2,120,0,5819904.3,80,False,Senior Ranking,65,0,19225,-1833,0,0,-375,-1632,0,10416.13
