rowType,group,label,bestOf,playerName,opponentName,expectedWinRate,frameWinChance,actualWinRate,playerFrames,opponentFrames,favouriteSide,favouriteWon,underdogWon,decidingFrame,whitewash,comebackWin,upset,technicalGap,mentalGap,physicalGap,confidenceGap,fatigueGap,pressureGap,safetyGap,breakBuildingGap,tacticalGap,playerStrength,opponentStrength,momentumSwings,playerConfidenceSwing,opponentConfidenceSwing,playerFatigueChange,opponentFatigueChange,pressureEvents,deciderPressureEvents,framesWonFromBehind,framesLostFromWinningPosition,closeFramesWon,closeFramesLost,topReason
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,100.00,3,2,Player,true,false,true,false,false,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,52.00,0,12.00,12.00,22.72,20.96,53,19,2,2,2,2,Player stole a close frame after trailing and handled the late pressure better. Pre-match balance stayed fairly tight.
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,0.00,0,3,Player,false,true,false,true,false,true,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,52.00,0,27.00,27.00,11.15,13.57,34,0,0,3,0,1,Opponent stole a close frame after trailing and handled the late pressure better. Pre-match balance stayed fairly tight.
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,100.00,3,2,Player,true,false,true,false,false,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,52.00,0,20.00,20.00,20.38,19.94,25,22,1,2,2,2,Opponent stole a close frame after trailing and handled the late pressure better. Pre-match balance stayed fairly tight.
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,0.00,2,3,Player,false,true,true,false,false,true,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,52.00,0,10.00,10.00,22.49,21.83,53,12,2,3,1,3,Opponent stole a close frame after trailing and handled the late pressure better. Pre-match balance stayed fairly tight.
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,0.00,1,3,Player,false,true,false,false,false,true,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,52.00,0,15.00,15.00,18.22,17.56,51,0,1,3,1,2,Opponent stole a close frame after trailing and handled the late pressure better. Pre-match balance stayed fairly tight.
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,0.00,1,3,Player,false,true,false,false,false,true,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,52.00,1,11.00,11.00,16.91,16.47,32,0,1,1,1,2,Opponent held nerve better on a close set of colours. Pre-match balance stayed fairly tight.
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,0.00,2,3,Player,false,true,true,false,false,true,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,53.00,1,10.00,10.00,20.47,18.27,38,21,2,3,2,2,Player stole a close frame after trailing and handled the late pressure better. Pre-match balance stayed fairly tight.
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,0.00,2,3,Player,false,true,true,false,false,true,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,51.00,0,27.00,29.00,20.93,22.03,52,24,2,3,2,1,Player stole a close frame after trailing and handled the late pressure better. Pre-match balance stayed fairly tight.
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,100.00,3,1,Player,true,false,false,false,false,false,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,51.00,0,7.00,7.00,18.86,18.64,58,0,3,1,3,1,Player stole a close frame after trailing and handled the late pressure better. Pre-match balance stayed fairly tight.
match,equal-youth,Equal Youth vs Equal Youth,5,Equal Youth A,Equal Youth B,50.00,50.00,0.00,0,3,Player,false,true,false,true,false,true,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,51.00,0,8.00,8.00,14.68,13.80,57,0,0,3,0,3,Opponent stole a close frame after trailing and handled the late pressure better. Pre-match balance stayed fairly tight.
