season,playerId,name,age,nationality,careerPhase,competitiveStatus,isHumanPlayer,isOnMainTour,isTourCardHolder,tourCardSource,tourCardYear,yearsRemaining,expiresAfterSeason,tourSurvivalStatus,seasonOpenWorldRank,seasonCloseWorldRank,normalizedWorldRank,rawWorldRankBeforeCap,worldRank,oneYearRank,amateurRank,qTourRank,qSchoolRank,seniorRank,previousWorldRank,rankChange,overall,potential,technicalAverage,mentalAverage,physicalAverage,effectiveMatchStrength,confidence,fatigue,reputation,seasonMatches,seasonWins,seasonLosses,seasonWinPercentage,seasonTitles,seasonMajorTitles,seasonWorldChampionshipEntries,seasonBestWorldChampionshipFinish,seasonMajorQuarterFinals,seasonMajorSemiFinals,seasonMajorFinals,seasonPrizeMoney,seasonRankingPoints,careerMatches,careerWins,careerLosses,careerWinPercentage,careerTitles,careerMajorTitles,careerPrizeMoney,totalRecord,youthRecord,amateurRecord,qTourRecord,qSchoolRecord,proQualifierRecord,rankingEventRecord,majorRecord,worldQualifyingRecord,worldMainDrawRecord,playersSeriesRecord,invitationalRecord,seniorRecord,exhibitionRecord,bestWorldRank,bestWorldChampionshipFinish,worldChampionshipMainDrawEligible,worldChampionshipMainDrawEntered,worldChampionshipQualifyingEntered,reasonSkippedWorldMainDraw,availableEventsCount,eligibleEventsCount,enteredEventsCount,rankingEventsEntered,qualifierEventsEntered,majorEventsEntered,invitationalsEntered,playersSeriesEntered,qTourEventsEntered,qSchoolEventsEntered,amateurEventsEntered,youthEventsEntered,seniorEventsEntered,skippedEligibleEventsCount,skippedCoreEventsCount,skippedReasonSummary,eventAccessBand,eventVolumeBandStatus,eventVolumeWarnings,calendarValidationWarnings,tourCardValidAtSeasonOpen,tourCardValidAtSeasonClose,lifecycleCorrectionApplied,rankCapApplied,recentSeasonWins,twoYearWins,twoYearPrizeMoney,majorFinalsLastTwoYears,titlesLastTwoYears,rankingDecayApplied,stalledReason,expectedCircuit,actualCircuit,warningFlags,invalidStateReasons,validTourStatus,validEventAccess,invalidAccessReason
2051/52,human-elliot-vance,Elliot Vance,40,England,Veteran,Major Contender,true,true,true,Ranking Retained,0,0,,Top 16,1,1,1,1,1,42,1,,,,1,0,86,92,89,74,87,99,99,0,100,18,12,6,66.66666666666666,0,0,1,Last 16,1,0,0,348300,1358,593,413,180,69.64586846543001,11,2,21070063,"{""matches"":593,""wins"":413,""losses"":180,""draws"":0,""winPercentage"":69.64586846543001,""eventsEntered"":245,""titles"":11,""finals"":27,""prizeMoney"":21070063,""points"":61909}","{""matches"":93,""wins"":62,""losses"":31,""draws"":0,""winPercentage"":66.66666666666666,""eventsEntered"":33,""titles"":2,""finals"":6,""prizeMoney"":13853,""points"":709}","{""matches"":4,""wins"":2,""losses"":2,""draws"":0,""winPercentage"":50,""eventsEntered"":2,""titles"":0,""finals"":0,""prizeMoney"":820,""points"":35}","{""matches"":6,""wins"":3,""losses"":3,""draws"":0,""winPercentage"":50,""eventsEntered"":3,""titles"":0,""finals"":0,""prizeMoney"":4900,""points"":121}","{""matches"":5,""wins"":4,""losses"":1,""draws"":0,""winPercentage"":80,""eventsEntered"":1,""titles"":0,""finals"":0,""prizeMoney"":40,""points"":6}","{""matches"":9,""wins"":7,""losses"":2,""draws"":0,""winPercentage"":0,""eventsEntered"":18,""titles"":0,""finals"":1,""prizeMoney"":100700,""points"":1548}","{""matches"":242,""wins"":187,""losses"":55,""draws"":0,""winPercentage"":77.27272727272727,""eventsEntered"":73,""titles"":5,""finals"":9,""prizeMoney"":4965550,""points"":25595}","{""matches"":98,""wins"":69,""losses"":29,""draws"":0,""winPercentage"":70.40816326530613,""eventsEntered"":35,""titles"":2,""finals"":4,""prizeMoney"":3289600,""points"":12511}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":20,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":61,""wins"":41,""losses"":20,""draws"":0,""winPercentage"":67.21311475409836,""eventsEntered"":20,""titles"":0,""finals"":2,""prizeMoney"":9225000,""points"":20960}","{""matches"":2,""wins"":1,""losses"":1,""draws"":0,""winPercentage"":50,""eventsEntered"":2,""titles"":0,""finals"":0,""prizeMoney"":9600,""points"":56}","{""matches"":73,""wins"":37,""losses"":36,""draws"":0,""winPercentage"":50.68493150684932,""eventsEntered"":38,""titles"":2,""finals"":5,""prizeMoney"":3460000,""points"":368}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}",1,Final,true,true,false,,71,21,8,3,2,2,3,0,0,0,0,0,0,13,14,13 eligible events not entered,Top 16,too low,,,true,true,false,false,12,30,1635400,0,0,false,,mainTour,mainTour,,,true,true,
2051/52,wp-arlo-dawes-a,Arlo Dawes A,40,BEL,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,2,2,2,2,2,10,,,,,2,0,94,94,95,99,90,99,72,2,72,0,0,0,,0,,,,,,,0,0,21,11,10,52.38095238095239,11,0,1634800,"{""matches"":21,""wins"":11,""losses"":10,""draws"":0,""winPercentage"":52.38095238095239,""eventsEntered"":0,""titles"":11,""finals"":0,""prizeMoney"":1634800,""points"":0}",,,,,,,,,,,,,,2,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,0,1,600000,,1,false,,mainTour,mainTour,,,true,true,
2051/52,wp-aaron-sloan,Aaron Sloan,54,BEL,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,4,3,3,3,3,6,,,,,4,1,87,87,85,88,76,89,33,29,66,1,0,1,0,0,,,,,,,32000,150,22,7,15,31.818181818181817,7,0,2016550,"{""matches"":22,""wins"":7,""losses"":15,""draws"":0,""winPercentage"":31.818181818181817,""eventsEntered"":0,""titles"":7,""finals"":0,""prizeMoney"":2016550,""points"":0}",,,,,,,,,,,,,,3,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,0,0,32000,,0,false,,mainTour,mainTour,top16-low-overall-no-results;top4-low-wins-no-results,,true,true,
2051/52,wp-aaron-zhou,Aaron Zhou,57,BEL,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,3,4,4,4,4,7,,,,,3,-1,92,92,89,95,80,98,52,29,69,0,0,0,,0,,,,,,,0,0,13,7,6,53.84615384615385,7,0,2499900,"{""matches"":13,""wins"":7,""losses"":6,""draws"":0,""winPercentage"":53.84615384615385,""eventsEntered"":0,""titles"":7,""finals"":0,""prizeMoney"":2499900,""points"":0}",,,,,,,,,,,,,,2,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,0,0,0,,0,false,,mainTour,mainTour,top16-low-overall-no-results;top4-low-wins-no-results,,true,true,
2051/52,wp-arlo-dawes-b,Arlo Dawes B,37,BEL,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,5,5,5,5,5,11,,,,,5,0,92,92,93,96,90,99,72,0,63,0,0,0,,0,,,,,,,0,0,10,6,4,60,6,0,1842700,"{""matches"":10,""wins"":6,""losses"":4,""draws"":0,""winPercentage"":60,""eventsEntered"":0,""titles"":6,""finals"":0,""prizeMoney"":1842700,""points"":0}",,,,,,,,,,,,,,2,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,0,1,65000,,1,false,,mainTour,mainTour,,,true,true,
2051/52,wp-aiden-pike,Aiden Pike,57,ENG,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,7,6,6,6,6,8,,,,,7,1,94,94,91,95,82,95,33,33,68,1,0,1,0,0,,,,,,,30000,120,13,10,3,76.92307692307693,10,0,1327000,"{""matches"":13,""wins"":10,""losses"":3,""draws"":0,""winPercentage"":76.92307692307693,""eventsEntered"":0,""titles"":10,""finals"":0,""prizeMoney"":1327000,""points"":0}",,,,,,,,,,,,,,3,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,0,0,30000,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
2051/52,wp-arlo-dawes,Arlo Dawes,40,BEL,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,8,7,7,7,7,9,,,,,8,1,88,88,89,93,84,99,87,4,60,1,1,0,100,1,,,,,,,9800,154,17,7,10,41.17647058823529,7,0,998550,"{""matches"":17,""wins"":7,""losses"":10,""draws"":0,""winPercentage"":41.17647058823529,""eventsEntered"":0,""titles"":7,""finals"":0,""prizeMoney"":998550,""points"":0}",,,,,,,,,,,,,,6,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,1,2,201050,,2,false,,mainTour,mainTour,,,true,true,
2051/52,wp-aaron-crane,Aaron Crane,55,BEL,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,15,8,8,8,8,1,,,,,15,7,93,93,91,97,82,99,73,30,63,2,2,0,100,2,,,,,,,160000,907,14,8,6,57.14285714285714,8,0,1081200,"{""matches"":14,""wins"":8,""losses"":6,""draws"":0,""winPercentage"":57.14285714285714,""eventsEntered"":0,""titles"":8,""finals"":0,""prizeMoney"":1081200,""points"":0}",,,,,,,,,,,,,,1,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,2,2,160000,,2,false,,mainTour,mainTour,,,true,true,
2051/52,wp-aaron-keane,Aaron Keane,53,BEL,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,6,9,9,9,9,3,,,,,6,-3,89,89,87,91,79,96,52,23,63,0,0,0,,0,,,,,,,0,0,16,7,9,43.75,7,0,1520250,"{""matches"":16,""wins"":7,""losses"":9,""draws"":0,""winPercentage"":43.75,""eventsEntered"":0,""titles"":7,""finals"":0,""prizeMoney"":1520250,""points"":0}",,,,,,,,,,,,,,3,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,0,0,155000,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
2051/52,wp-cian-holt,Cian Holt,52,WAL,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,13,10,10,10,10,29,,,,,13,3,88,88,86,91,78,96,57,27,62,2,1,1,50,1,,,,,,,206400,518,26,9,17,34.61538461538461,9,0,773100,"{""matches"":26,""wins"":9,""losses"":17,""draws"":0,""winPercentage"":34.61538461538461,""eventsEntered"":0,""titles"":9,""finals"":0,""prizeMoney"":773100,""points"":0}",,,,,,,,,,,,,,8,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,1,2,247400,,2,false,,mainTour,mainTour,,,true,true,
2051/52,wp-aaron-nash,Aaron Nash,71,BEL,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,9,11,11,11,11,5,,,,,9,-2,84,84,79,82,65,77,15,56,59,1,0,1,0,0,,,,,,,16000,75,22,6,16,27.27272727272727,6,0,1220850,"{""matches"":22,""wins"":6,""losses"":16,""draws"":0,""winPercentage"":27.27272727272727,""eventsEntered"":0,""titles"":6,""finals"":0,""prizeMoney"":1220850,""points"":0}",,,,,,,,,,,,,,5,,true,true,false,,71,21,15,9,0,6,6,3,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,0,0,18500,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
